LoopIndex,Monitoring Scheme,Vector Length,# Nodes,Approximation,Bandwidth,# Messages,# Full Syncs,Lower-Bound,Function's Value,Upper-Bound,,Server 1,Server 2,Server 3,Server 4,Server 5,Server 6,Server 7,Server 8,Server 9,Server 10,Server 11,Server 12,Server 13,Server 14,Server 15,Server 16,Server 17,Server 18,Server 19,Server 20,Server 21,Server 22,Server 23,Server 24,Server 25,Server 26,Server 27,Server 28,Server 29,Server 30,Server 31,Server 32,Server 33,Server 34,Server 35,Server 36,Server 37,Server 38,Server 39,Server 40,Server 41,Server 42,Server 43,Server 44,Server 45,Server 46,Server 47,Server 48,Server 49,Server 50,Server 51,Server 52,Server 53,Server 54,Server 55,Server 56,Server 57,Server 58,Server 59,Server 60,Server 61,Server 62,Server 63,Server 64
567,Naive,8192,64,Lower0.5Upper2,297271296,36288,567,658500920,1317001840,2634003680,,0,0,0,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0,2,208,3,2,0,0,3,55,86852,293305981,249216289,55229,0,0,0,6,219,66323,23707361,49673,19,0,0,0,20,674,381316,96,1,0,0,104020,6437,1,0,0,0,0,0,0,0,0,1,0,0
568,Naive,8192,64,Lower0.5Upper2,297795584,36352,568,657967446,1315934892,2631869784,,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,2,213,3,2,0,0,6,58,88109,294332403,247481831,52850,0,0,0,6,208,66735,23555137,50394,15,0,0,0,26,659,381586,92,1,0,0,106381,6262,1,0,0,0,0,0,0,0,0,0,0,0
569,Naive,8192,64,Lower0.5Upper2,298319872,36416,569,657669549,1315339098,2630678196,,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,2,213,3,2,0,0,10,62,87477,294643321,246637575,52643,0,0,0,5,198,66785,23592747,50154,15,0,0,0,20,665,383255,0,0,0,0,103594,5958,1,0,0,0,0,0,0,0,0,0,0,0
570,Naive,8192,64,Lower0.5Upper2,298844160,36480,570,649357565,1298715130,2597430260,,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,2,211,2,2,0,0,12,56,87387,291349970,242952957,50481,0,0,0,5,208,67702,23225959,51012,6,0,0,0,15,665,375125,0,0,0,0,103106,5892,1,0,0,0,0,0,0,0,0,0,0,0
571,Naive,8192,64,Lower0.5Upper2,299368448,36544,571,631240076.5,1262480153,2524960306,,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,2,206,2,2,0,0,13,57,88955,284245315,234186756,48681,0,0,0,5,213,67796,22859377,53138,6,0,0,0,13,719,365949,0,0,0,0,101718,5839,0,0,0,0,0,0,0,0,0,0,0,0
572,Naive,8192,64,Lower0.5Upper2,299892736,36608,572,616442072.5,1232884145,2465768290,,0,0,0,0,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,2,223,2,2,0,0,13,55,90444,277427815,228107632,44537,0,0,0,3,209,69262,22658556,54520,7,0,0,0,14,751,355425,0,0,0,0,96914,5787,0,0,0,0,0,0,0,0,0,0,0,0
573,Naive,8192,64,Lower0.5Upper2,300417024,36672,573,605011326.5,1210022653,2420045306,,0,0,0,0,0,0,0,0,0,0,0,42,0,0,0,0,0,0,0,2,229,2,2,0,0,15,31,92970,275032241,221548880,42273,0,0,0,3,227,71288,22733790,54139,8,0,0,0,19,731,339212,0,0,0,0,89900,5889,0,0,0,0,0,0,0,0,0,0,0,0
574,Naive,8192,64,Lower0.5Upper2,300941312,36736,574,596568764,1193137528,2386275056,,0,0,0,0,0,0,0,0,0,0,0,38,0,0,0,0,0,0,0,2,182,1,2,0,0,21,32,91115,274750993,215534758,38553,0,0,0,3,234,73134,22891521,56270,9,0,0,0,19,712,322490,0,0,0,0,87436,5883,0,0,0,0,0,0,0,0,0,0,0,0
575,Naive,8192,64,Lower0.5Upper2,301465600,36800,575,595175431.5,1190350863,2380701726,,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,2,160,1,2,0,0,24,31,91207,276781831,212618832,39419,0,0,0,3,265,75999,23142501,56674,7,0,0,0,18,662,309719,0,0,0,0,90356,5501,0,0,0,0,0,0,0,0,0,0,0,0
576,Naive,8192,64,Lower0.5Upper2,301989888,36864,576,604601334.5,1209202669,2418405338,,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,2,147,1,2,0,0,26,38,98180,283865697,213960508,36635,0,0,0,4,283,83598,23433312,58513,6,0,0,0,17,604,307277,0,0,0,0,92794,5471,0,0,0,0,0,0,0,0,0,0,0,0
577,Naive,8192,64,Lower0.5Upper2,302514176,36928,577,623067023.5,1246134047,2492268094,,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,2,157,1,2,0,0,31,39,107904,296027575,217614036,35802,0,0,0,2,308,95854,23890551,60133,7,0,0,0,17,542,325624,0,0,0,0,96709,5342,0,0,0,0,0,0,0,0,0,2,0,0
578,Naive,8192,64,Lower0.5Upper2,303038464,36992,578,643857847,1287715694,2575431388,,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,150,1,2,0,0,32,35,117460,312888368,220495798,36109,0,0,0,2,466,117375,24232644,61977,7,0,0,0,17,571,328532,43,0,0,0,97554,5449,0,0,0,0,0,0,0,0,0,2,0,0
579,Naive,8192,64,Lower0.5Upper2,303562752,37056,579,665001495.5,1330002991,2660005982,,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,156,0,2,0,0,34,37,124512,331136829,223141254,36017,0,0,0,2,676,144933,24514022,63914,9,0,0,0,17,562,328089,172,0,0,0,96768,5419,0,0,0,0,0,0,0,0,0,2,0,0
580,Naive,8192,64,Lower0.5Upper2,304087040,37120,580,680996408,1361992816,2723985632,,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,168,0,2,0,0,34,40,128652,345227821,224856980,36084,0,0,0,2,792,168526,24708386,65691,8,0,0,0,17,564,328166,181,0,0,0,96888,5419,0,0,0,0,0,0,0,0,0,2,0,0
581,Naive,8192,64,Lower0.5Upper2,304611328,37184,581,688449564,1376899128,2753798256,,0,0,0,1,0,0,0,0,0,0,0,44,0,0,0,0,0,0,0,0,203,0,2,0,0,34,45,129257,351880555,225814358,36272,0,0,0,2,874,181498,24789770,66685,8,0,0,0,17,582,327853,184,0,0,0,96437,5406,0,0,0,0,0,0,0,0,0,2,0,0
582,Naive,8192,64,Lower0.5Upper2,305135616,37248,582,684604873,1369209746,2738419492,,0,0,0,1,0,0,0,0,0,0,0,37,0,0,0,0,0,0,0,0,203,0,2,0,0,34,41,128840,351555219,223947449,36205,0,0,0,1,904,186176,24543056,67331,9,0,0,0,17,621,327284,184,0,0,0,92458,5374,0,0,0,0,0,0,0,0,0,2,0,0
583,Naive,8192,64,Lower0.5Upper2,305659904,37312,583,660247093,1320494186,2640988372,,0,0,0,1,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,203,0,2,0,0,33,62,123173,341433554,215600575,35765,0,0,0,1,914,186502,23431202,66627,9,0,0,0,16,573,327290,184,0,0,0,96683,5146,0,0,0,0,0,0,0,0,0,2,0,0
