LoopIndex,Monitoring Scheme,Vector Length,# Nodes,Epsilon,Bandwidth,# Messages,# Full Syncs,Lower-Bound,Function's Value,Upper-Bound,,Server 1,Server 2,Server 3,Server 4,Server 5,Server 6,Server 7,Server 8,Server 9,Server 10,Server 11,Server 12,Server 13,Server 14,Server 15,Server 16,Server 17,Server 18
4,Vector,4950,18,Threshold 5,386100,82,0,5,8.19279044341549,="+Infinity",,0.199188767452327,0.112300081961038,0.374988842003532,0.342455566113884,0.229759891516963,0.0807389561064156,0.0815811165610967,0.317627773336625,0.435160436235407,0.0212747965983056,0.618780533581955,0.354912325002701,-0.00117990427976622,-0.0662217495847699,0.528150440101555,0.442215010887892,0.0779636610732268,0.0608348186546834
4,Oracle,4950,18,Threshold 5,0,0,0,5,8.19278221357365,="+Infinity",,0.199780980293085,0.113150073830212,0.374961907969322,0.345373372150405,0.229811128447267,0.0803868509745911,0.0824523307631893,0.320914118909087,0.434804286336515,0.0295617028830719,0.618349826379799,0.354052055790405,-0.00185461825161326,0.0648862344578731,0.530352837176267,0.442400271161105,0.075500778500043,0.0625006643256967
4,Naive,4950,18,Threshold 5,356400,72,4,5,8.19279769336291,="+Infinity",,0.199320451107539,0.112864349171616,0.375418226239191,0.345023642291025,0.229585786938529,0.0852293359929206,0.0821602473426424,0.317859699419515,0.435869602431978,0.0107607762899278,0.619322134344529,0.354826769511007,-0.000693689299211542,0.06826429440504,0.529281287130928,0.442808356461882,0.0745748362801351,0.0674408520895753
4,Distance,4950,18,Threshold 5,712872,325,4,5,8.19274981095954,="+Infinity",,0.198553789646098,0.115752597795833,0.375024920871283,0.342159132752229,0.229842655287214,0.0754846223002232,0.0787846503787506,0.361025561308125,0.434133227367823,0.0283754284401141,0.619432810622016,0.355173731205383,-0.000542398506382824,0.0657586412906426,0.591578740032176,0.442071488265228,0.0764742440226485,0.0598824192088756
5,Value,4950,18,Threshold 5,712908,368,4,5,7.95016257333413,="+Infinity",,0.131826203957743,0.110528484200046,0.32416126395205,0.343385382384497,0.23000784258366,0.121746089587788,0.119101567119642,0.322272663973564,0.435952871285735,0.0379655229729252,0.619589626131656,0.356883779979498,0.00234330031491936,0.0671371676239971,0.531268694739111,0.152194781265393,0.151380653148379,0.0680038750118541
5,Vector,4950,18,Threshold 5,504900,107,0,5,7.95019082682344,="+Infinity",,0.132140776149441,0.112254145308697,0.321247692603791,0.342145109460716,0.229795562839428,0.12131913577953,0.118498104734485,0.322634755904531,0.436479922259537,-0.0328233406389131,0.618899168386776,0.354928059554837,-7.93572534689702E-05,0.0695930572630772,0.531999886337161,0.152276487235,0.152961863619055,-0.0676731741834118
5,Oracle,4950,18,Threshold 5,0,0,0,5,7.95022269435488,="+Infinity",,0.131908872336439,0.108397343546429,0.324416683545294,0.344414947780407,0.229817465079847,0.116177339000785,0.123194050691993,0.322296908151358,0.435306598054424,0.0283984851606078,0.618441027084458,0.356235205521699,0.00280889320113431,0.0648056753337869,0.532916574611448,0.265667302440093,0.147402671021197,0.0624372009725107
5,Naive,4950,18,Threshold 5,445500,90,5,5,7.95018492742507,="+Infinity",,0.130546644898743,0.11276876590253,0.320999141326993,0.342760559665166,0.230058598955637,0.117759793462341,0.123531075812451,0.320756946232038,0.435880377022571,0.0302582824430431,0.619118114697855,0.354747793468576,-0.000272830875644559,0.0611268821181739,0.527503832364459,0.150242144426414,0.149006381242444,0.0680241457061044
5,Distance,4950,18,Threshold 5,891090,404,5,5,7.95022951462141,="+Infinity",,0.130495519001983,0.108343808014141,0.323838977017061,0.34353935497974,0.230443281387082,0.117239762163578,0.236650210006147,0.322030086525189,0.435708356811233,0.0271356600451611,0.61869094454832,0.356897866431893,0.00039475842756076,0.0619820607274022,0.532829157150374,0.151001248507882,0.146896886702748,0.0584139036418918
6,Value,4950,18,Threshold 5,891126,451,5,5,7.72870740257875,="+Infinity",,0.129528823502866,0.11448379826021,0.323968171786277,0.344161637550386,0.230024795036329,0.119552608194994,0.11914172375532,0.322555665901874,0.435818888753445,0.0303347116014407,0.38788103693787,0.355388025936406,-0.00161651873011692,0.0692679458821743,0.532072677166099,0.226433081825988,0.149081745574392,0.0596149336035978
6,Vector,4950,18,Threshold 5,584100,124,0,5,7.72874135788294,="+Infinity",,0.13415004392904,0.110315458407229,0.320966550853171,0.343961944800327,0.229950622219022,0.126892661237363,0.120661583383935,0.317851546842419,0.435096174172884,0.0422310869005145,0.388631529720996,0.35462734477538,-0.000226801855475856,0.0634800610956319,0.531948658938916,0.228591447618882,0.148847534558186,0.0610441897621996
6,Oracle,4950,18,Threshold 5,0,0,0,5,7.72872810951141,="+Infinity",,0.12974075094435,0.108634557774266,0.325130708133671,0.34160652412163,0.230263396939392,0.11841814417123,0.1221263247688,0.317218899275034,0.434036653741572,0.0315864369997456,0.388514181541865,0.35500228078061,0.00137134959020102,0.0636789958059296,0.53179384500126,0.227780195600502,0.147906381749237,0.059562399667314
6,Naive,4950,18,Threshold 5,534600,108,6,5,7.72872690786828,="+Infinity",,0.132019232048577,0.108464631701224,0.322506993762957,0.343390470018633,0.229561598920483,0.125128237889726,0.117801900122117,0.322520018714343,0.435920578450364,0.0322226362636115,0.386951373236897,0.355049773661804,-0.000227339249704528,0.0617808036170828,0.531610194095109,0.225664081666451,0.149060393988677,0.0629190763885106
6,Distance,4950,18,Threshold 5,1069308,487,6,5,7.72873955900937,="+Infinity",,0.129040937517601,0.108387796850991,0.324797204075125,0.344517755907276,0.230110489095168,0.12626898563731,0.119649204386903,0.322550942835321,0.435716491478317,0.037203359575031,0.387943973785795,0.356763271858554,-0.000104857837499139,0.0682650932050137,0.530062480000694,0.227628642200017,0.147670081564314,0.0633064722463104
7,Value,4950,18,Threshold 5,1069344,533,6,5,7.48122276976414,="+Infinity",,0.0266771477941319,0.433761746444233,0.377837503923814,0.559091839587623,0.230091556661961,0.118179573804966,0.121168559048968,0.321609647018008,0.43538586715502,0.0307026262919265,0.389752763777821,0.400879692633055,0.00137349612714388,0.0617555961380845,0.530797537108541,0.225568853970771,0.148418221949314,0.0679246115301169
7,Vector,4950,18,Threshold 5,673200,143,0,5,7.48121548594298,="+Infinity",,0.0191089117078036,0.433721472133044,0.376236566454011,0.558151001076766,0.230889735194907,0.125466562550898,0.117489062979701,0.316985115834513,0.435322755150054,0.0384471209516164,0.389035036226929,0.4028822766209,0.000534378320239171,0.0638424365506722,0.53184728316657,0.228510998738216,0.151125259351446,0.0599337580766957
7,Oracle,4950,18,Threshold 5,0,0,0,5,7.48121650903244,="+Infinity",,0.0270836912447123,0.433626280545113,0.375770547053122,0.556015299010795,0.230501783597873,0.122222490454817,0.121281677046795,0.322488728243272,0.434893680591131,0.0388406827574386,0.38827905758761,0.401265811472115,0.00166976385102657,0.0686293405282186,0.590479042027667,0.227930486448656,0.147024722010542,0.0599894530518696
7,Naive,4950,18,Threshold 5,623700,126,7,5,7.48123812147854,="+Infinity",,0.0300597326416039,0.433707632623339,0.380167263205365,0.557497911686326,0.229891973717884,0.166101008321533,0.123504738025588,0.318137472894279,0.435581800601014,0.0354704979385474,0.391290503479723,0.402421836500878,0.00102862974280526,0.0691957623759265,0.530474854285757,0.225645553763442,0.146674812684765,0.0648887370477524
7,Distance,4950,18,Threshold 5,1247526,569,7,5,7.4812017946179,="+Infinity",,0.0259939519272763,0.433716460458115,0.425475916571472,0.559898439609711,0.229414152452705,0.118842141882993,0.117942332410053,0.318362531445203,0.435596903565511,0.0309542811985892,0.387502709419081,0.40194886910092,0.000667775430315487,0.0605775544898535,0.530634846117266,0.225391157762729,0.147800099987464,0.058456686061561
8,Value,4950,18,Threshold 5,1247562,619,7,5,7.42528260784425,="+Infinity",,0.0244824171853395,0.433528456193471,0.374861333913401,0.557967793950354,0.229397388215389,0.124047861444851,0.117604172482444,0.316854687695582,0.435484952019664,0.0344647877277708,0.389158476797519,0.400965312063562,0.000639910510258801,0.248041190056298,0.530501287862705,0.228601864192484,0.152025861198084,0.0647781824081051
8,Vector,4950,18,Threshold 5,722700,154,0,5,7.42528624192224,="+Infinity",,0.0287061608852213,0.43357019592554,0.380334504103615,0.558141680403665,0.229875990545466,0.121735221503371,0.11790639207679,0.320627096506769,0.434982545873751,0.0331179286213086,0.39020391213846,0.400833567127648,0.0016469270692312,0.245485452227058,0.530401473944934,0.226796505402604,0.146522799370274,0.058880734766916
