LoopIndex,Monitoring Scheme,Vector Length,# Nodes,Epsilon,Bandwidth,# Messages,# Full Syncs,Lower-Bound,Function's Value,Upper-Bound,,Server 1,Server 2,Server 3,Server 4,Server 5,Server 6,Server 7,Server 8,Server 9,Server 10,Server 11,Server 12,Server 13,Server 14,Server 15,Server 16
3,Value,4950,16,Threshold 5,475248,218,3,5,8.05005181716427,="+Infinity",,0.0338046058915893,0.204505319938875,0.344130632945848,0.270576499154799,0.000560478183558644,0.314211678606284,0.357679018090209,0.356031455609241,0.371345433393202,0.372115313531367,0.117885842958131,0.252216165430838,0.228749389989304,0.134274173647526,0.298389998801966,0.433062780027072
3,Vector,4950,16,Threshold 5,247500,53,0,5,8.05005168596436,="+Infinity",,0.0476862698417619,0.205408605455219,0.345098198143518,0.266713446645312,0.000146486001384005,0.314032098933595,0.358314590476041,0.358457799685937,0.370207483249956,0.372991810986477,0.117129598465752,0.254373220855584,0.229193466727651,0.133760973585325,0.299271126468312,0.434867678590251
3,Oracle,4950,16,Threshold 5,0,0,0,5,8.05004112034169,="+Infinity",,0.0459685717398486,0.209293509415417,0.34234571520544,0.268218379422237,0.000929723522261838,0.314179748350696,0.357495426851031,0.358639829521991,0.370713257639139,0.371989175950361,0.115550422574245,0.250201729957013,0.229062456390437,0.133748396188707,0.300979209165149,0.435544393049511
3,Naive,4950,16,Threshold 5,237600,48,3,5,8.05004408146459,="+Infinity",,0.0402927642236932,0.205444590386804,0.342788479324653,0.268176761774441,0.00136483630952,0.314278807789918,0.356911176739814,0.356987797828438,0.370526565505386,0.372497953432372,0.113312349295455,0.253152603795172,0.229809565845443,0.136711226281705,0.300826315769015,0.434974871346455
3,Distance,4950,16,Threshold 5,475248,218,3,5,8.05004692823464,="+Infinity",,0.0390723808198601,0.205890302400903,0.343338253064204,0.268446819924677,-0.000666561160727497,0.314170326238482,0.35749534298759,0.362059275333493,0.371031654857816,0.372460964046283,0.109264488874317,0.254329016451891,0.229295327393672,0.137367825743581,0.29823601011573,0.433439749210123
4,Value,4950,16,Threshold 5,633664,288,4,5,7.82267771988032,="+Infinity",,0.0354216013422501,0.209362622197617,0.342644450307446,0.149052023503373,0.0826512723813266,0.314248415779119,0.356839582142257,0.358967904793602,0.300112541994991,0.269316116225298,0.114893680632946,0.253298282845108,0.228352019315238,0.134605088927984,0.302026356411218,0.4343593054476
4,Vector,4950,16,Threshold 5,356400,76,0,5,7.82256438933915,="+Infinity",,0.0411329412598462,0.206477065914797,0.34453534223951,0.148499643019733,-0.076594507259415,0.314827605707123,0.357658678611486,0.357815583406676,0.300852902482134,0.269061176098347,0.11344054677626,0.255080563040451,0.229053482965796,0.133874072315422,0.302445954460921,0.432855804751028
4,Oracle,4950,16,Threshold 5,0,0,0,5,7.82269953647297,="+Infinity",,0.0425119789486956,0.204911665643479,0.3427038875042,0.154591583304025,0.0817014999710608,0.314156594980659,0.357869329678252,0.360815749791158,0.299896590417589,0.269203049931846,0.116442436648413,0.254022356873804,0.229082257316222,0.134268145058442,0.300688218057573,0.43340224408756
4,Naive,4950,16,Threshold 5,316800,64,4,5,7.8226924718545,="+Infinity",,0.0412839597429553,0.206358158877748,0.344310036893958,0.149006747707674,0.0812451117398041,0.314752570354244,0.356948886262956,0.35612252901727,0.300961803121311,0.268895636030834,0.1136674515366,0.254931861774153,0.229883525374021,0.134841685324588,0.300819637444263,0.433059279169612
4,Distance,4950,16,Threshold 5,633664,288,4,5,7.82267738096905,="+Infinity",,0.0387998118490316,0.24531893641003,0.344654075407504,0.148343512534979,0.0815944860310651,0.313666128400001,0.356956727286843,0.361424267628749,0.300816088074129,0.269174652490477,0.111643717712255,0.255777435288906,0.228923817103308,0.134622164016477,0.302433810444072,0.432672034270766
5,Value,4950,16,Threshold 5,792080,360,5,5,7.72639590196573,="+Infinity",,0.034387554809058,0.207724793435744,0.226732440319168,0.148917899861061,0.243551577907112,0.381688339055955,0.358746266260056,0.304242342754023,0.369775150530927,0.269429621057427,0.112259145034358,0.255835967028801,0.229518423748331,0.133876213633897,0.323659066957759,0.403773664190709
5,Vector,4950,16,Threshold 5,445500,95,0,5,7.7262913374113,="+Infinity",,0.0356459917701955,0.208804371312524,0.226568051107023,0.151383537562367,0.248182304451433,0.382806033290336,0.357794074512157,0.307338105260811,0.300616963448178,0.269140436494368,0.115768926544959,0.256129970673669,0.228838763832826,0.13452556095379,0.320998040745408,0.406365711442973
5,Oracle,4950,16,Threshold 5,0,0,0,5,7.72640001308466,="+Infinity",,0.0337174636527493,0.205064405758776,0.226014196426149,0.151476332809438,0.24650918783604,0.38243192021973,0.357231369885398,0.358127574277219,0.301821159355612,0.269148431140636,0.115064683566473,0.254246373507911,0.229516049973682,0.137532934632361,0.323132956015201,0.402916166118516
5,Naive,4950,16,Threshold 5,396000,80,5,5,7.72638350921639,="+Infinity",,0.0470542827959264,0.211075993995763,0.227245493840698,0.148793132752076,0.244899366144381,0.382728294430109,0.358726114558706,0.303443873212302,0.300088669762971,0.269670545183175,0.115114503397351,0.254080023040927,0.230276147405135,0.137227393593108,0.324048330607468,0.40373749151567
5,Distance,4950,16,Threshold 5,792080,360,5,5,7.72639914185376,="+Infinity",,0.0447734993258138,0.210493720758208,0.224566060884513,0.149068097813597,0.247186999821238,0.382663780788278,0.357697776391845,0.302817274305625,0.36978249802209,0.269051991687775,0.114775735080443,0.254081267063427,0.22913748092823,0.134615946837158,0.324234616940004,0.406836337009537
6,Value,4950,16,Threshold 5,950496,433,6,5,7.52227419256424,="+Infinity",,0.181797449615601,0.208136273505531,0.224838010602667,0.15067465806689,0.243937156202335,0.383062695521616,0.0351944022931576,0.304173661842597,0.300632305731511,0.271262817015213,0.114102136000596,0.253501022309138,0.227085641357704,0.135753780360488,0.323466537604361,0.405159909680449
6,Vector,4950,16,Threshold 5,524700,112,0,5,7.52227635994373,="+Infinity",,0.186252456183695,0.209953416180468,0.227274687650976,0.153935284916585,0.243447539516083,0.382218548780457,0.0350397323935852,0.302497100949864,0.36862949726175,0.271140840132659,0.112816297260323,0.255794351161597,0.22739857649232,0.133868115741677,0.322304229482157,0.403905085001
6,Oracle,4950,16,Threshold 5,0,0,0,5,7.52218746442277,="+Infinity",,0.180594191829471,0.205883601439652,0.228101951546137,0.152164199491708,0.247744757273011,0.382401878725545,0.0475170009792123,0.306722817221882,0.30086991231245,0.26989253056864,0.114424001654825,0.252424480075049,0.229785321376681,0.133683837272258,0.437562595343778,0.404638913454534
6,Naive,4950,16,Threshold 5,475200,96,6,5,7.522272842867,="+Infinity",,0.183004631959093,0.209212148174572,0.227134949133614,0.154755404356337,0.249150801316247,0.383035406246009,0.0502513656430637,0.303781452555924,0.301087456547236,0.270110294151081,-0.112464828499924,0.255177103884918,0.229063544514744,0.133896427113385,0.3232912780243,0.404003072633984
