LoopIndex,Monitoring Scheme,Vector Length,# Nodes,Epsilon,Bandwidth,# Messages,# Full Syncs,Lower-Bound,Function's Value,Upper-Bound,,Server 1,Server 2,Server 3,Server 4
7,Naive,4950,4,Threshold 5,138600,28,7,5,8.30583844014488,="+Infinity",,0.644293624466343,0.632949940119488,0.598862660396193,0.455620397057601
7,Distance,4950,4,Threshold 5,0,0,0,5,8.30579184816416,="+Infinity",,0.644122908488384,0.633681405512874,0.598953418046662,0.455560176447833
8,Value,4950,4,Threshold 5,0,0,0,5,8.29909124957649,="+Infinity",,0.644226521643759,0.63367027146667,0.598861121900711,0.425800881420955
8,Vector,4950,4,Threshold 5,0,0,0,5,8.29910607014016,="+Infinity",,0.644234055093563,0.633579649309596,0.598874303856334,0.425778375745338
8,Oracle,4950,4,Threshold 5,0,0,0,5,8.29895376431897,="+Infinity",,0.64406929295113,0.633569789643374,0.598975241747866,0.425769092235456
8,Naive,4950,4,Threshold 5,158400,32,8,5,8.29909296209995,="+Infinity",,0.644216187843938,0.633354188595177,0.598687189205052,0.425763970529744
8,Distance,4950,4,Threshold 5,0,0,0,5,8.29910389570995,="+Infinity",,0.644219030507614,0.633561950487646,0.598909920777686,0.425731133831761
9,Value,4950,4,Threshold 5,0,0,0,5,8.20475908557266,="+Infinity",,0.644121921837197,0.619721777500246,0.593294696802616,0.406058230446263
9,Vector,4950,4,Threshold 5,0,0,0,5,8.20477125653953,="+Infinity",,0.644275586715452,0.619209024488441,0.592981244567099,0.406059873958768
9,Oracle,4950,4,Threshold 5,0,0,0,5,8.20476914192585,="+Infinity",,0.644132610584805,0.619613470708288,0.593194021034364,0.406048143157577
9,Naive,4950,4,Threshold 5,178200,36,9,5,8.20470078057141,="+Infinity",,0.644235769938973,0.619627415303853,0.593155968938532,0.406092345776088
9,Distance,4950,4,Threshold 5,0,0,0,5,8.20477063226261,="+Infinity",,0.6441195951667,0.619726959784131,0.593009920310877,0.406047473711112
10,Value,4950,4,Threshold 5,0,0,0,5,8.16479389328424,="+Infinity",,0.644300852194519,0.619738879126785,0.59190876829436,0.405983910657028
10,Vector,4950,4,Threshold 5,0,0,0,5,8.16487158057049,="+Infinity",,0.644166917554145,0.619649646923435,0.591954579016189,0.40621024445629
10,Oracle,4950,4,Threshold 5,0,0,0,5,8.16487580555348,="+Infinity",,0.6442025115593,0.619610044412255,0.591764951544604,0.40627844785989
10,Naive,4950,4,Threshold 5,198000,40,10,5,8.16486542092164,="+Infinity",,0.644314943595589,0.709639050923215,0.591916187956727,0.406068158741263
10,Distance,4950,4,Threshold 5,0,0,0,5,8.16487492444395,="+Infinity",,0.64420537483258,0.619729001539625,0.591754272572089,0.406054566401224
11,Value,4950,4,Threshold 5,0,0,0,5,8.11823736880699,="+Infinity",,0.64284387829791,0.619689684714885,0.617266887665608,0.406057674551093
11,Vector,4950,4,Threshold 5,0,0,0,5,8.11823927105155,="+Infinity",,0.642920972050831,0.619609565010393,0.616934291074287,0.40609363901514
11,Oracle,4950,4,Threshold 5,0,0,0,5,8.11824782666609,="+Infinity",,0.642819540591688,0.619430275729755,0.617221196975237,0.406060382959183
11,Naive,4950,4,Threshold 5,217800,44,11,5,8.11817276385962,="+Infinity",,0.642823055351428,0.619739271527123,0.617217366137155,0.406060091849596
11,Distance,4950,4,Threshold 5,0,0,0,5,8.1181840238721,="+Infinity",,0.642970370047593,0.619621045936299,0.617204599753791,0.406281476261711
12,Value,4950,4,Threshold 5,0,0,0,5,8.06044342368649,="+Infinity",,0.581557256382368,0.619625819386982,0.617222489427661,0.39684534066599
12,Vector,4950,4,Threshold 5,0,0,0,5,8.06044689615887,="+Infinity",,0.581455604413549,0.619427392192264,0.617059202519997,0.396907983411609
12,Oracle,4950,4,Threshold 5,0,0,0,5,8.06043149096713,="+Infinity",,0.581545578336161,0.619736157891268,0.617205315635715,0.396837618770206
12,Naive,4950,4,Threshold 5,237600,48,12,5,8.06043044335266,="+Infinity",,0.581590587777825,0.709546375597114,0.617255280154808,0.396808925270875
12,Distance,4950,4,Threshold 5,0,0,0,5,8.06044582541425,="+Infinity",,0.581450683525489,0.619655112389196,0.617284379151727,0.396724180046618
13,Value,4950,4,Threshold 5,0,0,0,5,7.95113799202747,="+Infinity",,0.562979373093427,0.61962001308784,0.608847927458626,0.396813220775272
13,Vector,4950,4,Threshold 5,0,0,0,5,7.95113137186293,="+Infinity",,0.562808750297719,0.619615128175568,0.60897855900312,0.396704667250859
13,Oracle,4950,4,Threshold 5,0,0,0,5,7.9511358107861,="+Infinity",,0.562860792652017,0.619662582445571,0.608824240246491,0.396702099591266
13,Naive,4950,4,Threshold 5,257400,52,13,5,7.95112892174627,="+Infinity",,0.562975563209207,0.619731962819742,0.608975780036587,0.396859885566926
13,Distance,4950,4,Threshold 5,0,0,0,5,7.95102368879613,="+Infinity",,0.562836688323543,0.619253580731282,0.608857248215841,0.3968237277615
14,Value,4950,4,Threshold 5,0,0,0,5,7.90197382220292,="+Infinity",,0.562795322436386,0.619374779362076,0.579060248824689,0.427477557839055
14,Vector,4950,4,Threshold 5,0,0,0,5,7.90197286748828,="+Infinity",,0.562714448983755,0.619615510935674,0.579088128007825,0.427427423371952
14,Oracle,4950,4,Threshold 5,0,0,0,5,7.90198245305061,="+Infinity",,0.562819273869138,0.619676998135731,0.577899563006085,0.427353550418033
14,Naive,4950,4,Threshold 5,277200,56,14,5,7.90197967968693,="+Infinity",,0.562877569516957,0.619688664428551,0.578264585073129,0.427454199568075
14,Distance,4950,4,Threshold 5,0,0,0,5,7.90196599567065,="+Infinity",,0.562923318052214,0.61967677775624,0.578248335480467,0.427434250411551
15,Value,4950,4,Threshold 5,0,0,0,5,7.88746836340684,="+Infinity",,0.562813521066104,0.633792220306574,0.577470251448233,0.427407669423545
15,Vector,4950,4,Threshold 5,0,0,0,5,7.88738726353336,="+Infinity",,0.562835134179167,0.632890508359907,0.57734573567744,0.42741356027841
15,Oracle,4950,4,Threshold 5,0,0,0,5,7.8874654910034,="+Infinity",,0.562797091054335,0.633804280996799,0.578938878760184,0.427334280680526
