LoopIndex,Monitoring Scheme,Vector Length,# Nodes,Approximation,Bandwidth,# Messages,# Full Syncs,Lower-Bound,Function's Value,Upper-Bound,,Server 1,Server 2,Server 3,Server 4,Server 5
12,Value,30,5,Lower0.3Upper3,642,85,2,10354.8211058181,34516.0703527272,103548.211058182,,5.0575748017545,51.1269727793279,21439.7571683749,655.900927925022,61.9886143695852
12,Dist L2,30,5,Lower0.3Upper3,941,105,3,13072.2391482293,34516.0703527272,130722.391482293,,5.0575748017545,51.1269727793279,21439.7571683749,655.900927925022,61.9886143695852
12,Dist L0,30,5,Lower0.3Upper3,642,85,2,10354.8211058181,34516.0703527272,103548.211058182,,5.0575748017545,51.1269727793279,21439.7571683749,655.900927925022,61.9886143695852
13,Oracle,30,5,Lower0.3Upper3,300,10,1,13072.2391482293,28517.1992284048,130722.391482293,,5.47933740383067,40.8014808611378,17664.606382826,571.510750963023,61.6270154949064
13,Naive,30,5,Lower0.3Upper3,1950,65,13,8555.15976852145,28517.1992284048,85551.5976852145,,5.47933740383067,40.8014808611378,17664.606382826,571.510750963023,61.6270154949064
13,Oracle Vector,30,5,Lower0.3Upper3,1440,62,1,13072.2391482293,28517.1992284048,130722.391482293,,5.47933740383067,40.8014808611378,17664.606382826,571.510750963023,61.6270154949064
13,Value,30,5,Lower0.3Upper3,646,90,2,10354.8211058181,28517.1992284048,103548.211058182,,5.47933740383067,40.8014808611378,17664.606382826,571.510750963023,61.6270154949064
13,Vector,30,5,Lower0.3Upper3,2100,88,1,18469.4206770287,28517.1992284048,184694.206770287,,5.47933740383067,40.8014808611378,17664.606382826,571.510750963023,61.6270154949064
13,Dist L0,30,5,Lower0.3Upper3,646,90,2,10354.8211058181,28517.1992284048,103548.211058182,,5.47933740383067,40.8014808611378,17664.606382826,571.510750963023,61.6270154949064
13,Dist L2,30,5,Lower0.3Upper3,1246,128,4,8555.15976852145,28517.1992284048,85551.5976852145,,5.47933740383067,40.8014808611378,17664.606382826,571.510750963023,61.6270154949064
14,Naive,30,5,Lower0.3Upper3,2100,70,14,7295.97504291035,24319.9168097012,72959.7504291034,,4.92706494884585,33.4442098694159,14773.6876015656,493.043963186007,58.9348369333756
14,Oracle,30,5,Lower0.3Upper3,300,10,1,13072.2391482293,24319.9168097012,130722.391482293,,4.92706494884585,33.4442098694159,14773.6876015656,493.043963186007,58.9348369333756
14,Value,30,5,Lower0.3Upper3,652,98,2,10354.8211058181,24319.9168097012,103548.211058182,,4.92706494884585,33.4442098694159,14773.6876015656,493.043963186007,58.9348369333756
14,Oracle Vector,30,5,Lower0.3Upper3,1560,67,1,13072.2391482293,24319.9168097012,130722.391482293,,4.92706494884585,33.4442098694159,14773.6876015656,493.043963186007,58.9348369333756
14,Dist L0,30,5,Lower0.3Upper3,652,98,2,10354.8211058181,24319.9168097012,103548.211058182,,4.92706494884585,33.4442098694159,14773.6876015656,493.043963186007,58.9348369333756
14,Dist L2,30,5,Lower0.3Upper3,1250,133,4,8555.15976852145,24319.9168097012,85551.5976852145,,4.92706494884585,33.4442098694159,14773.6876015656,493.043963186007,58.9348369333756
