LoopIndex,Monitoring Scheme,Vector Length,# Nodes,Approximation,Bandwidth,# Messages,# Full Syncs,Lower-Bound,Function's Value,Upper-Bound,OK,Server 1,Server 2,Server 3,Server 4,Server 5,Server 6,Server 7,Server 8,Server 1,Server 2,Server 3,Server 4,Server 5,Server 6,Server 7,Server 8
5,Oracle,110,8,Lower0.3Upper3,0,0,0,60622.60134,120875.669,606226.0134,,0.921007145,10.09261874,20.07904136,52072.65812,6521.168088,998.8563003,68.14581088,55.04581065,7.368057164,80.74094992,160.6323309,416581.2649,52169.3447,7990.850403,545.1664871,440.3664852
5,Naive,110,8,Lower0.3Upper3,4400,40,5,36262.70071,120875.669,362627.0071,,0.921007145,10.09261874,20.07904136,52072.65812,6521.168088,998.8563003,68.14581088,55.04581065,7.368057164,80.74094992,160.6323309,416581.2649,52169.3447,7990.850403,545.1664871,440.3664852
5,Oracle Vector,110,8,Lower0.3Upper3,880,10,0,60622.60134,120875.669,606226.0134,,0.921007145,10.09261874,20.07904136,52072.65812,6521.168088,998.8563003,68.14581088,55.04581065,7.368057164,80.74094992,160.6323309,416581.2649,52169.3447,7990.850403,545.1664871,440.3664852
5,Value,110,8,Lower0.3Upper3,22,26,0,60622.60134,120875.669,606226.0134,,0.921007145,10.09261874,20.07904136,52072.65812,6521.168088,998.8563003,68.14581088,55.04581065,7.368057164,80.74094992,160.6323309,416581.2649,52169.3447,7990.850403,545.1664871,440.3664852
5,Dist L0,110,8,Lower0.3Upper3,24,29,0,60622.60134,120875.669,606226.0134,,0.921007145,10.09261874,20.07904136,52072.65812,6521.168088,998.8563003,68.14581088,55.04581065,7.368057164,80.74094992,160.6323309,416581.2649,52169.3447,7990.850403,545.1664871,440.3664852
5,Dist L2,110,8,Lower0.3Upper3,1782,57,1,39640.69262,120875.669,396406.9262,,0.921007145,10.09261874,20.07904136,52072.65812,6521.168088,998.8563003,68.14581088,55.04581065,7.368057164,80.74094992,160.6323309,416581.2649,52169.3447,7990.850403,545.1664871,440.3664852
5,Vector,110,8,Lower0.3Upper3,2860,30,0,60622.60134,120875.669,606226.0134,,0.921007145,10.09261874,20.07904136,52072.65812,6521.168088,998.8563003,68.14581088,55.04581065,7.368057164,80.74094992,160.6323309,416581.2649,52169.3447,7990.850403,545.1664871,440.3664852
6,Naive,110,8,Lower0.3Upper3,5280,48,6,32115.78784,107052.6261,321157.8784,,0.776873267,9.371574032,17.10776885,47254.65992,5475.260808,876.4915248,44.30939091,44.82353717,6.214986137,74.97259225,136.8621508,378037.2794,43802.08647,7011.932199,354.4751272,358.5882973
6,Oracle,110,8,Lower0.3Upper3,0,0,0,60622.60134,107052.6261,606226.0134,,0.776873267,9.371574032,17.10776885,47254.65992,5475.260808,876.4915248,44.30939091,44.82353717,6.214986137,74.97259225,136.8621508,378037.2794,43802.08647,7011.932199,354.4751272,358.5882973
6,Value,110,8,Lower0.3Upper3,34,41,0,60622.60134,107052.6261,606226.0134,,0.776873267,9.371574032,17.10776885,47254.65992,5475.260808,876.4915248,44.30939091,44.82353717,6.214986137,74.97259225,136.8621508,378037.2794,43802.08647,7011.932199,354.4751272,358.5882973
6,Oracle Vector,110,8,Lower0.3Upper3,1540,17,0,60622.60134,107052.6261,606226.0134,,0.776873267,9.371574032,17.10776885,47254.65992,5475.260808,876.4915248,44.30939091,44.82353717,6.214986137,74.97259225,136.8621508,378037.2794,43802.08647,7011.932199,354.4751272,358.5882973
6,Vector,110,8,Lower0.3Upper3,4180,45,0,60622.60134,107052.6261,606226.0134,,0.776873267,9.371574032,17.10776885,47254.65992,5475.260808,876.4915248,44.30939091,44.82353717,6.214986137,74.97259225,136.8621508,378037.2794,43802.08647,7011.932199,354.4751272,358.5882973
6,Dist L2,110,8,Lower0.3Upper3,1788,65,1,39640.69262,107052.6261,396406.9262,,0.776873267,9.371574032,17.10776885,47254.65992,5475.260808,876.4915248,44.30939091,44.82353717,6.214986137,74.97259225,136.8621508,378037.2794,43802.08647,7011.932199,354.4751272,358.5882973
6,Dist L0,110,8,Lower0.3Upper3,34,41,0,60622.60134,107052.6261,606226.0134,,0.776873267,9.371574032,17.10776885,47254.65992,5475.260808,876.4915248,44.30939091,44.82353717,6.214986137,74.97259225,136.8621508,378037.2794,43802.08647,7011.932199,354.4751272,358.5882973
7,Naive,110,8,Lower0.3Upper3,6160,56,7,28245.65967,94152.19889,282456.5967,,0.782822155,10.07583819,17.09681541,42067.02953,4840.231078,767.5701098,41.684817,38.45846128,6.262577243,80.60670553,136.7745232,336536.2362,38721.84862,6140.560878,333.478536,307.6676902
7,Oracle,110,8,Lower0.3Upper3,0,0,0,60622.60134,94152.19889,606226.0134,,0.782822155,10.07583819,17.09681541,42067.02953,4840.231078,767.5701098,41.684817,38.45846128,6.262577243,80.60670553,136.7745232,336536.2362,38721.84862,6140.560878,333.478536,307.6676902
7,Oracle Vector,110,8,Lower0.3Upper3,2200,24,0,60622.60134,94152.19889,606226.0134,,0.782822155,10.07583819,17.09681541,42067.02953,4840.231078,767.5701098,41.684817,38.45846128,6.262577243,80.60670553,136.7745232,336536.2362,38721.84862,6140.560878,333.478536,307.6676902
7,Vector,110,8,Lower0.3Upper3,5500,60,0,60622.60134,94152.19889,606226.0134,,0.782822155,10.07583819,17.09681541,42067.02953,4840.231078,767.5701098,41.684817,38.45846128,6.262577243,80.60670553,136.7745232,336536.2362,38721.84862,6140.560878,333.478536,307.6676902
7,Dist L0,110,8,Lower0.3Upper3,48,59,0,60622.60134,94152.19889,606226.0134,,0.782822155,10.07583819,17.09681541,42067.02953,4840.231078,767.5701098,41.684817,38.45846128,6.262577243,80.60670553,136.7745232,336536.2362,38721.84862,6140.560878,333.478536,307.6676902
7,Dist L2,110,8,Lower0.3Upper3,3556,103,2,28245.65967,94152.19889,282456.5967,,0.782822155,10.07583819,17.09681541,42067.02953,4840.231078,767.5701098,41.684817,38.45846128,6.262577243,80.60670553,136.7745232,336536.2362,38721.84862,6140.560878,333.478536,307.6676902
7,Value,110,8,Lower0.3Upper3,1802,78,1,28245.65967,94152.19889,282456.5967,,0.782822155,10.07583819,17.09681541,42067.02953,4840.231078,767.5701098,41.684817,38.45846128,6.262577243,80.60670553,136.7745232,336536.2362,38721.84862,6140.560878,333.478536,307.6676902
8,Naive,110,8,Lower0.3Upper3,7040,64,8,25300.01544,84333.38482,253000.1544,,0.782307491,8.171164575,15.7201995,37491.71838,4235.446759,643.2440735,38.5519352,33.65031212,6.258459928,65.3693166,125.761596,299933.747,33883.57407,5145.952588,308.4154816,269.2024969
8,Oracle,110,8,Lower0.3Upper3,0,0,0,60622.60134,84333.38482,606226.0134,,0.782307491,8.171164575,15.7201995,37491.71838,4235.446759,643.2440735,38.5519352,33.65031212,6.258459928,65.3693166,125.761596,299933.747,33883.57407,5145.952588,308.4154816,269.2024969
8,Value,110,8,Lower0.3Upper3,1802,78,1,28245.65967,84333.38482,282456.5967,,0.782307491,8.171164575,15.7201995,37491.71838,4235.446759,643.2440735,38.5519352,33.65031212,6.258459928,65.3693166,125.761596,299933.747,33883.57407,5145.952588,308.4154816,269.2024969
8,Dist L2,110,8,Lower0.3Upper3,3556,103,2,28245.65967,84333.38482,282456.5967,,0.782307491,8.171164575,15.7201995,37491.71838,4235.446759,643.2440735,38.5519352,33.65031212,6.258459928,65.3693166,125.761596,299933.747,33883.57407,5145.952588,308.4154816,269.2024969
8,Oracle Vector,110,8,Lower0.3Upper3,3080,33,0,60622.60134,84333.38482,606226.0134,,0.782307491,8.171164575,15.7201995,37491.71838,4235.446759,643.2440735,38.5519352,33.65031212,6.258459928,65.3693166,125.761596,299933.747,33883.57407,5145.952588,308.4154816,269.2024969
8,Dist L0,110,8,Lower0.3Upper3,1816,96,1,25300.01544,84333.38482,253000.1544,,0.782307491,8.171164575,15.7201995,37491.71838,4235.446759,643.2440735,38.5519352,33.65031212,6.258459928,65.3693166,125.761596,299933.747,33883.57407,5145.952588,308.4154816,269.2024969
8,Vector,110,8,Lower0.3Upper3,7260,81,1,25300.01544,84333.38482,253000.1544,,0.782307491,8.171164575,15.7201995,37491.71838,4235.446759,643.2440735,38.5519352,33.65031212,6.258459928,65.3693166,125.761596,299933.747,33883.57407,5145.952588,308.4154816,269.2024969
9,Naive,110,8,Lower0.3Upper3,7920,72,9,21983.39108,73277.97028,219833.9108,,0.623946166,8.489285019,13.93856361,32775.49325,3910.884695,540.7668145,38.32412728,28.1190394,4.991569331,67.91428015,111.5085089,262203.946,31287.07756,4326.134516,306.5930183,224.9523152
9,Oracle,110,8,Lower0.3Upper3,0,0,0,60622.60134,73277.97028,606226.0134,,0.623946166,8.489285019,13.93856361,32775.49325,3910.884695,540.7668145,38.32412728,28.1190394,4.991569331,67.91428015,111.5085089,262203.946,31287.07756,4326.134516,306.5930183,224.9523152
9,Vector,110,8,Lower0.3Upper3,7700,86,1,25300.01544,73277.97028,253000.1544,,0.623946166,8.489285019,13.93856361,32775.49325,3910.884695,540.7668145,38.32412728,28.1190394,4.991569331,67.91428015,111.5085089,262203.946,31287.07756,4326.134516,306.5930183,224.9523152
9,Value,110,8,Lower0.3Upper3,1810,89,1,28245.65967,73277.97028,282456.5967,,0.623946166,8.489285019,13.93856361,32775.49325,3910.884695,540.7668145,38.32412728,28.1190394,4.991569331,67.91428015,111.5085089,262203.946,31287.07756,4326.134516,306.5930183,224.9523152
9,Dist L0,110,8,Lower0.3Upper3,1820,101,1,25300.01544,73277.97028,253000.1544,,0.623946166,8.489285019,13.93856361,32775.49325,3910.884695,540.7668145,38.32412728,28.1190394,4.991569331,67.91428015,111.5085089,262203.946,31287.07756,4326.134516,306.5930183,224.9523152
9,Oracle Vector,110,8,Lower0.3Upper3,4840,54,0,60622.60134,73277.97028,606226.0134,,0.623946166,8.489285019,13.93856361,32775.49325,3910.884695,540.7668145,38.32412728,28.1190394,4.991569331,67.91428015,111.5085089,262203.946,31287.07756,4326.134516,306.5930183,224.9523152
9,Dist L2,110,8,Lower0.3Upper3,5324,142,3,21983.39108,73277.97028,219833.9108,,0.623946166,8.489285019,13.93856361,32775.49325,3910.884695,540.7668145,38.32412728,28.1190394,4.991569331,67.91428015,111.5085089,262203.946,31287.07756,4326.134516,306.5930183,224.9523152
10,Oracle,110,8,Lower0.3Upper3,0,0,0,60622.60134,61023.64031,606226.0134,,0.440237869,7.854442802,13.66988122,27475.12025,3316.113282,459.0925904,40.98571607,26.90355328,3.521902955,62.83554242,109.3590498,219800.962,26528.90626,3672.740723,327.8857286,215.2284262
