LoopIndex,Monitoring Scheme,Vector Length,# Nodes,Approximation,Bandwidth,# Messages,# Full Syncs,Lower-Bound,Function's Value,Upper-Bound,,Server 1,Server 2,Server 3,Server 4,Server 5,Server 6,Server 7,Server 8,Server 9,Server 10,Server 11,Server 12,Server 13,Server 14,Server 15,Server 16,Server 17,Server 18,Server 19,Server 20,Server 21,Server 22,Server 23,Server 24,Server 25,Server 26,Server 27,Server 28,Server 29,Server 30,Server 31,Server 32,Server 33,Server 34,Server 35,Server 36,Server 37,Server 38,Server 39,Server 40,Server 41,Server 42,Server 43,Server 44,Server 45,Server 46,Server 47,Server 48,Server 49,Server 50,Server 51,Server 52,Server 53,Server 54,Server 55,Server 56,Server 57,Server 58,Server 59,Server 60,Server 61,Server 62,Server 63,Server 64,Server 65,Server 66,Server 67,Server 68,Server 69,Server 70,Server 71,Server 72,Server 73,Server 74,Server 75,Server 76,Server 77,Server 78,Server 79,Server 80,Server 81,Server 82,Server 83,Server 84,Server 85,Server 86,Server 87,Server 88,Server 89,Server 90,Server 91,Server 92,Server 93,Server 94,Server 95,Server 96,Server 97,Server 98,Server 99,Server 100,Server 101,Server 102,Server 103,Server 104,Server 105,Server 106,Server 107,Server 108,Server 109,Server 110,Server 111,Server 112,Server 113,Server 114,Server 115,Server 116,Server 117,Server 118,Server 119,Server 120,Server 121,Server 122,Server 123,Server 124,Server 125,Server 126,Server 127,Server 128,Server 129,Server 130,Server 131,Server 132,Server 133,Server 134,Server 135,Server 136,Server 137,Server 138,Server 139,Server 140,Server 141,Server 142,Server 143,Server 144
188,Naive,8192,144,Lower0.5Upper2,221773824,27072,188,445546516,891093032,1782186064,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,512166,93,0,0,0,0,0,0,0,0,66,46992,20897455,314132449,16287966,15318,1,0,0,0,0,0,9,181,12515,887541,10622179,24313,306,0,0,0,0,0,0,2,13,30027,208985,1,1,0,0,0,0,0,0,6,131,7,0,0,0,0,0,0,0,0,105974,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
189,Naive,8192,144,Lower0.5Upper2,222953472,27216,189,448481197.5,896962395,1793924790,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,513516,92,0,0,0,0,0,0,0,0,65,47647,21171516,315738345,16420424,15602,1,0,0,0,0,0,9,218,12578,891162,10684941,25167,275,0,0,0,0,0,0,2,16,29928,210473,1,2,0,0,0,0,0,0,7,140,7,0,0,0,0,0,0,0,0,102824,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
190,Naive,8192,144,Lower0.5Upper2,224133120,27360,190,451849824.5,903699649,1807399298,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,517793,78,1,0,0,0,0,0,0,0,65,47790,21466807,317888292,16614957,15416,1,0,0,0,0,0,9,251,12390,896921,10737551,24739,260,0,0,0,0,0,0,2,13,30483,209616,1,0,0,0,0,0,0,0,7,140,8,0,0,0,0,0,0,0,0,99652,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
191,Naive,8192,144,Lower0.5Upper2,225312768,27504,191,455641324.5,911282649,1822565298,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,522841,72,1,0,0,0,0,0,0,0,62,47266,21842166,320705730,16628017,15457,1,0,0,0,0,0,6,255,12954,892942,10780436,24278,252,0,0,0,0,0,0,2,11,30841,215143,1,0,1,0,0,0,0,0,8,161,5,0,0,0,0,0,0,0,0,100288,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
192,Naive,8192,144,Lower0.5Upper2,226492416,27648,192,459336643,918673286,1837346572,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,2,0,0,523460,60,3,0,0,0,0,0,0,0,63,46857,22250068,323365446,16673255,15033,1,0,0,0,0,0,6,230,14017,904348,10826794,24282,271,0,0,0,0,0,0,2,11,31469,208465,1,2,1,0,0,0,0,0,8,160,5,0,0,0,0,0,0,0,0,101116,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
193,Naive,8192,144,Lower0.5Upper2,227672064,27792,193,462435691,924871382,1849742764,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,526747,74,4,0,0,0,0,0,0,0,63,45889,22520763,325758525,16691245,14734,1,0,0,0,0,0,5,265,14518,909807,10875373,24807,263,0,0,0,0,0,0,2,11,31101,208266,1,5,1,0,0,0,0,0,5,155,6,0,0,0,0,0,0,0,0,101302,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
194,Naive,8192,144,Lower0.5Upper2,228851712,27936,194,463882311,927764622,1855529244,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,526711,71,4,0,0,0,0,0,0,0,63,46462,22662776,326762531,16732798,14700,1,0,0,0,0,0,5,236,14837,915424,10878256,24062,267,0,0,0,0,0,0,2,12,30915,209254,1,6,1,0,0,0,0,0,6,175,6,0,0,0,0,0,0,0,0,100139,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
195,Naive,8192,144,Lower0.5Upper2,230031360,28080,195,464988396.5,929976793,1859953586,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,524551,64,4,0,0,0,0,0,0,0,64,46577,22857838,327523894,16732546,14595,1,0,0,0,0,0,0,271,15226,913827,10871766,23629,267,0,0,0,0,0,0,2,15,30925,209327,0,6,1,0,0,0,0,0,6,186,6,0,0,0,0,0,0,0,0,100216,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
196,Naive,8192,144,Lower0.5Upper2,231211008,28224,196,465168506,930337012,1860674024,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,522066,71,2,0,0,0,0,0,0,0,64,46383,22902871,327784613,16727377,14592,1,0,0,0,0,0,0,284,15888,913269,10861126,23625,270,0,0,0,0,0,0,2,16,30970,209371,0,6,1,0,0,0,0,0,6,186,6,0,0,0,0,0,0,0,0,100425,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
197,Naive,8192,144,Lower0.5Upper2,232390656,28368,197,465598345.5,931196691,1862393382,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,521513,72,2,0,0,0,0,0,0,0,60,46358,22877602,328311240,16727143,14499,1,0,0,0,0,0,0,288,15982,914898,10872807,23615,280,0,0,0,0,0,0,2,17,30859,209508,0,6,1,0,0,0,0,0,6,173,6,0,0,0,0,0,0,0,0,99894,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
