LoopIndex,Monitoring Scheme,Vector Length,# Nodes,Approximation,Bandwidth,# Messages,# Full Syncs,Lower-Bound,Function's Value,Upper-Bound,,Server 1,Server 2,Server 3,Server 4,Server 5,Server 6,Server 7,Server 8,Server 9,Server 10,Server 11,Server 12,Server 13,Server 14,Server 15,Server 16,Server 17,Server 18,Server 19,Server 20,Server 21,Server 22,Server 23,Server 24,Server 25,Server 26,Server 27,Server 28,Server 29,Server 30,Server 31,Server 32,Server 33,Server 34,Server 35,Server 36,Server 37,Server 38,Server 39,Server 40,Server 41,Server 42,Server 43,Server 44,Server 45,Server 46,Server 47,Server 48,Server 49,Server 50,Server 51,Server 52,Server 53,Server 54,Server 55,Server 56,Server 57,Server 58,Server 59,Server 60,Server 61,Server 62,Server 63,Server 64,Server 65,Server 66,Server 67,Server 68,Server 69,Server 70,Server 71,Server 72,Server 73,Server 74,Server 75,Server 76,Server 77,Server 78,Server 79,Server 80,Server 81,Server 82,Server 83,Server 84,Server 85,Server 86,Server 87,Server 88,Server 89,Server 90,Server 91,Server 92,Server 93,Server 94,Server 95,Server 96,Server 97,Server 98,Server 99,Server 100
265,Naive,8192,100,Lower0.5Upper2,217088000,26500,265,506571124,1013142248,2026284496,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,132,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,136,61,0,0,0,0,0,0,107,195954,146231419,244668839,3059482,0,0,0,0,0,6,1033,111880,11806662,606408,2092,8,0,0,0,0,2,446,135888,16,5,0,0,0,0,105907,136,29,9,0,0,0,0,0,0,1424,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
266,Naive,8192,100,Lower0.5Upper2,217907200,26600,266,517317323.5,1034634647,2069269294,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,132,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,131,55,0,0,0,0,0,0,117,209475,150112352,248453788,3070031,0,0,0,0,0,4,1070,119509,11893894,613095,2050,9,0,0,0,0,2,351,135133,16,4,0,0,0,0,104531,134,26,8,0,0,0,0,0,0,1415,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
267,Naive,8192,100,Lower0.5Upper2,218726400,26700,267,527289492,1054578984,2109157968,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,132,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,120,63,0,0,0,0,0,0,120,215587,153624175,252091592,3088225,0,0,0,0,0,3,1085,131384,12005672,615277,2119,9,0,0,0,0,1,301,135064,16,4,0,0,0,0,104407,134,24,9,0,0,0,0,0,0,1415,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
268,Naive,8192,100,Lower0.5Upper2,219545600,26800,268,536384977,1072769954,2145539908,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,132,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,139,84,0,0,0,0,0,0,122,220937,157849796,254431877,3094594,0,0,0,0,0,2,1152,139854,12127469,617859,2184,9,0,0,0,0,1,396,135353,16,4,0,0,0,0,104464,134,24,7,0,0,0,0,0,0,1415,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
269,Naive,8192,100,Lower0.5Upper2,220364800,26900,269,541294868.5,1082589737,2165179474,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,132,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,170,98,0,0,0,0,0,0,126,222695,160179661,256087317,3101552,0,0,0,0,0,2,1224,141925,12176799,619884,2199,8,0,0,0,0,1,424,135098,16,4,0,0,0,0,104832,132,28,6,0,0,0,0,0,0,1466,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
270,Naive,8192,100,Lower0.5Upper2,221184000,27000,270,542274133,1084548266,2169096532,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,132,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,164,89,0,0,0,0,0,0,126,223214,160692321,256470615,3103888,0,0,0,0,0,2,1230,144005,12167839,621445,2222,8,0,0,0,0,1,449,134876,16,5,0,0,0,0,104455,132,28,6,0,0,0,0,0,0,1329,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
271,Naive,8192,100,Lower0.5Upper2,222003200,27100,271,541389261,1082778522,2165557044,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,176,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,156,94,0,0,0,0,0,1,119,222658,160744246,255718418,3107343,0,0,0,0,0,2,1239,144427,12115015,616828,2205,8,0,0,0,0,1,427,134652,16,6,0,0,0,0,104377,129,28,7,0,0,0,0,0,0,1445,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
272,Naive,8192,100,Lower0.5Upper2,222822400,27200,272,538290751,1076581502,2153163004,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,242,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,149,91,0,0,0,0,0,2,118,220685,160359141,253826934,3095189,0,0,0,0,0,2,1252,147218,11973299,609475,2101,8,0,0,0,0,1,398,134726,16,4,0,0,0,0,104195,135,29,7,0,0,0,0,0,0,1253,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
273,Naive,8192,100,Lower0.5Upper2,223641600,27300,273,532885052.5,1065770105,2131540210,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,242,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1,149,88,0,0,0,0,0,2,62,218434,159201987,251279785,3061715,0,0,0,0,1,2,1255,147812,11694251,596922,2056,6,0,0,0,0,1,384,134320,16,4,0,0,0,0,103685,128,24,7,0,0,0,0,0,0,1151,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
274,Naive,8192,100,Lower0.5Upper2,224460800,27400,274,525063893,1050127786,2100255572,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,242,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1,146,99,0,0,0,0,0,2,60,214280,157409361,247663851,2994508,0,0,0,0,1,2,1274,147854,11313767,575191,1940,2,0,0,0,0,1,426,136256,16,3,0,0,0,0,104617,130,29,6,0,0,0,0,0,0,1096,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
275,Naive,8192,100,Lower0.5Upper2,225280000,27500,275,519799369,1039598738,2079197476,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,242,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1,150,101,0,0,0,0,0,2,60,212981,155652537,245526634,2975405,0,0,0,0,1,2,1289,148424,11090558,562266,1917,4,0,0,0,0,1,475,134656,16,3,0,0,0,0,105089,122,28,6,0,0,0,0,0,0,1132,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
276,Naive,8192,100,Lower0.5Upper2,226099200,27600,276,521515720.5,1043031441,2086062882,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,242,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1,150,101,0,0,0,0,0,2,66,213251,156084823,245789303,2985340,1,0,0,0,1,2,1310,149576,11016404,563835,1898,4,0,0,0,0,1,511,146865,0,2,0,0,0,0,105808,152,38,6,0,0,0,0,0,0,1210,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
