LoopIndex,Monitoring Scheme,Vector Length,# Nodes,Epsilon,Bandwidth,# Messages,# Full Syncs,Lower-Bound,Function's Value,Upper-Bound,,Server 1,Server 2,Server 3,Server 4,Server 5,Server 6,Server 7,Server 8
14,Vector,10000,8,Multiplicative 0.08,960000,116,0,37818134.56,39126360,44395201.44,,0,0,0,0,0,0,0,0
14,Dist L2,10000,8,Multiplicative 0.08,160088,135,1,36383895.04,39126360,42711528.96,,0,0,0,0,0,0,0,0
14,SKV,10000,8,Multiplicative 0.08,6544,593,0,37818134.56,39126360,44395201.44,,0,0,0,0,0,0,0,0
14,SKD,10000,8,Multiplicative 0.08,6554,607,0,37818134.56,39126360,44395201.44,,0,0,0,0,0,0,0,0
15,Naive,10000,8,Multiplicative 0.08,1200000,120,15,35782306.12,38893811,42005315.88,,0,0,0,0,0,0,0,0
15,Oracle,10000,8,Multiplicative 0.08,0,0,0,37818134.56,38893811,44395201.44,,0,0,0,0,0,0,0,0
15,Value,10000,8,Multiplicative 0.08,160094,140,1,36383895.04,38893811,42711528.96,,0,0,0,0,0,0,0,0
15,Vector,10000,8,Multiplicative 0.08,1100000,134,0,37818134.56,38893811,44395201.44,,0,0,0,0,0,0,0,0
15,Dist L2,10000,8,Multiplicative 0.08,160094,142,1,36383895.04,38893811,42711528.96,,0,0,0,0,0,0,0,0
15,SKV,10000,8,Multiplicative 0.08,15148,800,0,37818134.56,38893811,44395201.44,,0,0,0,0,0,0,0,0
15,SKD,10000,8,Multiplicative 0.08,15160,815,0,37818134.56,38893811,44395201.44,,0,0,0,0,0,0,0,0
16,Naive,10000,8,Multiplicative 0.08,1280000,128,16,35714947.4,38820595,41926242.6,,0,0,0,0,0,0,0,0
16,Oracle,10000,8,Multiplicative 0.08,0,0,0,37818134.56,38820595,44395201.44,,0,0,0,0,0,0,0,0
16,Value,10000,8,Multiplicative 0.08,160098,145,1,36383895.04,38820595,42711528.96,,0,0,0,0,0,0,0,0
16,Vector,10000,8,Multiplicative 0.08,1240000,152,0,37818134.56,38820595,44395201.44,,0,0,0,0,0,0,0,0
16,Dist L2,10000,8,Multiplicative 0.08,160104,154,1,36383895.04,38820595,42711528.96,,0,0,0,0,0,0,0,0
16,SKV,10000,8,Multiplicative 0.08,23882,1013,0,37818134.56,38820595,44395201.44,,0,0,0,0,0,0,0,0
16,SKD,10000,8,Multiplicative 0.08,23894,1027,0,37818134.56,38820595,44395201.44,,0,0,0,0,0,0,0,0
17,Naive,10000,8,Multiplicative 0.08,1360000,136,17,35742944.84,38851027,41959109.16,,0,0,0,0,0,0,0,0
17,Oracle,10000,8,Multiplicative 0.08,0,0,0,37818134.56,38851027,44395201.44,,0,0,0,0,0,0,0,0
17,Value,10000,8,Multiplicative 0.08,160106,154,1,36383895.04,38851027,42711528.96,,0,0,0,0,0,0,0,0
17,Vector,10000,8,Multiplicative 0.08,1360000,166,0,37818134.56,38851027,44395201.44,,0,0,0,0,0,0,0,0
17,Dist L2,10000,8,Multiplicative 0.08,160114,166,1,36383895.04,38851027,42711528.96,,0,0,0,0,0,0,0,0
