LoopIndex,Monitoring Scheme,Vector Length,# Nodes,Approximation,Bandwidth,# Messages,# Full Syncs,Lower-Bound,Function's Value,Upper-Bound,,Server 1,Server 2,Server 3,Server 4,Server 5,Server 6,Server 7,Server 8,Server 9
4,Oracle Vector,399,9,Combined_Lower0.5Upper2_Additive100000,0,0,0,-7408.6860405748,119526.908083899,470365.255837701,,7.98538718910394,2.64817345094715,8.11415530299405,6174.21667322216,21479.3056755007,10985.1910483056,68.8063489658888,93.959962800816,61.7186906503046
4,Value,399,9,Combined_Lower0.5Upper2_Additive100000,8,10,0,-7408.6860405748,119526.908083899,470365.255837701,,7.98538718910394,2.64817345094715,8.11415530299405,6174.21667322216,21479.3056755007,10985.1910483056,68.8063489658888,93.959962800816,61.7186906503046
4,Dist L2,399,9,Combined_Lower0.5Upper2_Additive100000,12,15,0,-7408.6860405748,119526.908083899,470365.255837701,,7.98538718910394,2.64817345094715,8.11415530299405,6174.21667322216,21479.3056755007,10985.1910483056,68.8063489658888,93.959962800816,61.7186906503046
4,Vector,399,9,Combined_Lower0.5Upper2_Additive100000,3192,10,0,-7408.6860405748,119526.908083899,470365.255837701,,7.98538718910394,2.64817345094715,8.11415530299405,6174.21667322216,21479.3056755007,10985.1910483056,68.8063489658888,93.959962800816,61.7186906503046
4,Dist L-inf,399,9,Combined_Lower0.5Upper2_Additive100000,8,10,0,-7408.6860405748,119526.908083899,470365.255837701,,7.98538718910394,2.64817345094715,8.11415530299405,6174.21667322216,21479.3056755007,10985.1910483056,68.8063489658888,93.959962800816,61.7186906503046
5,Oracle,399,9,Combined_Lower0.5Upper2_Additive100000,0,0,0,-7408.6860405748,108359.736231,470365.255837701,,6.63972254958969,2.5585582964121,8.01033397290755,5503.15268242545,20445.1981162129,9778.59938264506,51.6571465327173,80.9230652419281,55.3015144861778
5,Oracle Vector,399,9,Combined_Lower0.5Upper2_Additive100000,0,0,0,-7408.6860405748,108359.736231,470365.255837701,,6.63972254958969,2.5585582964121,8.01033397290755,5503.15268242545,20445.1981162129,9778.59938264506,51.6571465327173,80.9230652419281,55.3015144861778
5,Value,399,9,Combined_Lower0.5Upper2_Additive100000,12,15,0,-7408.6860405748,108359.736231,470365.255837701,,6.63972254958969,2.5585582964121,8.01033397290755,5503.15268242545,20445.1981162129,9778.59938264506,51.6571465327173,80.9230652419281,55.3015144861778
5,Vector,399,9,Combined_Lower0.5Upper2_Additive100000,4788,15,0,-7408.6860405748,108359.736231,470365.255837701,,6.63972254958969,2.5585582964121,8.01033397290755,5503.15268242545,20445.1981162129,9778.59938264506,51.6571465327173,80.9230652419281,55.3015144861778
5,Dist L-inf,399,9,Combined_Lower0.5Upper2_Additive100000,8,10,0,-7408.6860405748,108359.736231,470365.255837701,,6.63972254958969,2.5585582964121,8.01033397290755,5503.15268242545,20445.1981162129,9778.59938264506,51.6571465327173,80.9230652419281,55.3015144861778
5,Dist L2,399,9,Combined_Lower0.5Upper2_Additive100000,30,40,0,-7408.6860405748,108359.736231,470365.255837701,,6.63972254958969,2.5585582964121,8.01033397290755,5503.15268242545,20445.1981162129,9778.59938264506,51.6571465327173,80.9230652419281,55.3015144861778
6,Oracle,399,9,Combined_Lower0.5Upper2_Additive100000,0,0,0,-7408.6860405748,96083.1613689974,470365.255837701,,6.47750832585912,2.41673893057516,7.64513709018144,4516.48680758101,18724.7818495131,8779.9868440809,41.4964268685256,65.0341326763919,46.4720205320439
6,Oracle Vector,399,9,Combined_Lower0.5Upper2_Additive100000,0,0,0,-7408.6860405748,96083.1613689974,470365.255837701,,6.47750832585912,2.41673893057516,7.64513709018144,4516.48680758101,18724.7818495131,8779.9868440809,41.4964268685256,65.0341326763919,46.4720205320439
6,Value,399,9,Combined_Lower0.5Upper2_Additive100000,20,24,0,-7408.6860405748,96083.1613689974,470365.255837701,,6.47750832585912,2.41673893057516,7.64513709018144,4516.48680758101,18724.7818495131,8779.9868440809,41.4964268685256,65.0341326763919,46.4720205320439
6,Vector,399,9,Combined_Lower0.5Upper2_Additive100000,7182,22,0,-7408.6860405748,96083.1613689974,470365.255837701,,6.47750832585912,2.41673893057516,7.64513709018144,4516.48680758101,18724.7818495131,8779.9868440809,41.4964268685256,65.0341326763919,46.4720205320439
6,Dist L-inf,399,9,Combined_Lower0.5Upper2_Additive100000,18,22,0,-7408.6860405748,96083.1613689974,470365.255837701,,6.47750832585912,2.41673893057516,7.64513709018144,4516.48680758101,18724.7818495131,8779.9868440809,41.4964268685256,65.0341326763919,46.4720205320439
6,Dist L2,399,9,Combined_Lower0.5Upper2_Additive100000,7221,80,1,-51958.4193155013,96083.1613689974,292166.322737995,,6.47750832585912,2.41673893057516,7.64513709018144,4516.48680758101,18724.7818495131,8779.9868440809,41.4964268685256,65.0341326763919,46.4720205320439
7,Oracle,399,9,Combined_Lower0.5Upper2_Additive100000,0,0,0,-7408.6860405748,86408.35982797,470365.255837701,,6.89742066900532,2.44625196054328,7.39503944251662,3667.40288979199,17512.4070834037,8018.83270094195,34.7839697175864,58.3473101416404,44.3435514274657
7,Value,399,9,Combined_Lower0.5Upper2_Additive100000,28,33,0,-7408.6860405748,86408.35982797,470365.255837701,,6.89742066900532,2.44625196054328,7.39503944251662,3667.40288979199,17512.4070834037,8018.83270094195,34.7839697175864,58.3473101416404,44.3435514274657
7,Oracle Vector,399,9,Combined_Lower0.5Upper2_Additive100000,0,0,0,-7408.6860405748,86408.35982797,470365.255837701,,6.89742066900532,2.44625196054328,7.39503944251662,3667.40288979199,17512.4070834037,8018.83270094195,34.7839697175864,58.3473101416404,44.3435514274657
7,Dist L2,399,9,Combined_Lower0.5Upper2_Additive100000,7221,80,1,-51958.4193155013,86408.35982797,292166.322737995,,6.89742066900532,2.44625196054328,7.39503944251662,3667.40288979199,17512.4070834037,8018.83270094195,34.7839697175864,58.3473101416404,44.3435514274657
7,Vector,399,9,Combined_Lower0.5Upper2_Additive100000,10374,31,0,-7408.6860405748,86408.35982797,470365.255837701,,6.89742066900532,2.44625196054328,7.39503944251662,3667.40288979199,17512.4070834037,8018.83270094195,34.7839697175864,58.3473101416404,44.3435514274657
