LoopIndex,MonitoringScheme,VectorLength,NumOfNodes,Epsilon,Bandwidth,NumberOfMessages,NumberOfChannels,NumberOfFullSyncs,LowerBound,FunctionValue,UpperBound,,Node 1,Node 2,Node 3,Node 4,Node 5
56,Distance L2 Scheme,100,5,Multiplicative 0.15,0,0,0,0,364525984.15,428121753,493182213.85,,9010128,17849987,15939207,15757648,23586222
57,Distance L2 Scheme,100,5,Multiplicative 0.15,0,0,0,0,364525984.15,428431925,493182213.85,,9006618,17835381,15922056,15731386,23659868
58,Distance L2 Scheme,100,5,Multiplicative 0.15,0,0,0,0,364525984.15,428430368,493182213.85,,9012535,17810843,15901056,15728010,23654111
59,Distance L2 Scheme,100,5,Multiplicative 0.15,0,0,0,0,364525984.15,428191148,493182213.85,,9027243,17762671,15854177,15715098,23639847
60,Distance L2 Scheme,100,5,Multiplicative 0.15,0,0,0,0,364525984.15,428386970,493182213.85,,9038649,17681204,15857827,15755703,23690143
61,Distance L2 Scheme,100,5,Multiplicative 0.15,0,0,0,0,364525984.15,428575936,493182213.85,,9049776,17653611,15879149,15784059,23673084
62,Distance L2 Scheme,100,5,Multiplicative 0.15,0,0,0,0,364525984.15,428768046,493182213.85,,9028970,17607116,15877750,15758318,23715682
63,Distance L2 Scheme,100,5,Multiplicative 0.15,0,0,0,0,364525984.15,428737690,493182213.85,,9042739,17607786,15863646,15752006,23715514
64,Distance L2 Scheme,100,5,Multiplicative 0.15,0,0,0,0,364525984.15,428785728,493182213.85,,9052323,17560071,15848686,15741724,23749801
65,Distance L2 Scheme,100,5,Multiplicative 0.15,0,0,0,0,364525984.15,428853303,493182213.85,,9033791,17534260,15871411,15748442,23751663
66,Distance L2 Scheme,100,5,Multiplicative 0.15,0,0,0,0,364525984.15,428619399,493182213.85,,9046292,17525746,15856387,15736131,23698044
67,Distance L2 Scheme,100,5,Multiplicative 0.15,0,0,0,0,364525984.15,428388615,493182213.85,,9053554,17486663,15805556,15722066,23676701
68,Distance L2 Scheme,100,5,Multiplicative 0.15,0,0,0,0,364525984.15,428522322,493182213.85,,9054580,17427964,15782725,15733064,23716758
69,Distance L2 Scheme,100,5,Multiplicative 0.15,0,0,0,0,364525984.15,428287169,493182213.85,,9065951,17377175,15770308,15706200,23707822
70,Distance L2 Scheme,100,5,Multiplicative 0.15,0,0,0,0,364525984.15,428300202,493182213.85,,9068479,17329093,15761362,15726107,23670734
71,Distance L2 Scheme,100,5,Multiplicative 0.15,0,0,0,0,364525984.15,428259050,493182213.85,,9051079,17344960,15730485,15722952,23650180
72,Distance L2 Scheme,100,5,Multiplicative 0.15,0,0,0,0,364525984.15,428177245,493182213.85,,9053729,17330659,15725042,15740603,23602757
73,Distance L2 Scheme,100,5,Multiplicative 0.15,0,0,0,0,364525984.15,427796964,493182213.85,,9046560,17305958,15698012,15747014,23540237
74,Distance L2 Scheme,100,5,Multiplicative 0.15,0,0,0,0,364525984.15,427541428,493182213.85,,9061070,17257808,15675883,15748054,23485009
75,Distance L2 Scheme,100,5,Multiplicative 0.15,0,0,0,0,364525984.15,427498345,493182213.85,,9056210,17211601,15637573,15752452,23481053
76,Distance L2 Scheme,100,5,Multiplicative 0.15,0,0,0,0,364525984.15,427232720,493182213.85,,9063757,17152458,15591828,15784777,23455347
77,Distance L2 Scheme,100,5,Multiplicative 0.15,0,0,0,0,364525984.15,427281133,493182213.85,,9063391,17132475,15573692,15773315,23484629
78,Distance L2 Scheme,100,5,Multiplicative 0.15,0,0,0,0,364525984.15,427488605,493182213.85,,9089164,17098866,15593887,15722049,23535331
79,Distance L2 Scheme,100,5,Multiplicative 0.15,0,0,0,0,364525984.15,427600628,493182213.85,,9095646,17067698,15577312,15695622,23616588
80,Distance L2 Scheme,100,5,Multiplicative 0.15,0,0,0,0,364525984.15,427648858,493182213.85,,9097874,17042355,15588551,15699970,23621591
