LoopIndex,Monitoring Scheme,Vector Length,# Nodes,Approximation,Bandwidth,# Messages,# Full Syncs,Lower-Bound,Function's Value,Upper-Bound,,Server 1,Server 2,Server 3,Server 4,Server 5,Server 6,Server 7,Server 8,Server 9,Server 10,Server 11,Server 12,Server 13,Server 14,Server 15,Server 16,Server 17,Server 18,Server 19,Server 20,Server 21,Server 22,Server 23,Server 24,Server 25
12,Value,5000,25,Lower0.5Upper2,254,353,0,448669809,860907209,1794679236,,0,0,204,0,0,0,0,57,12,0,0,76,69631597,439927528,2314,0,156043,1743,456878,92,0,9980,3,0,0
12,Vector,5000,25,Lower0.5Upper2,1060000,296,0,448669809,860907209,1794679236,,0,0,204,0,0,0,0,57,12,0,0,76,69631597,439927528,2314,0,156043,1743,456878,92,0,9980,3,0,0
12,Oracle Vector,5000,25,Lower0.5Upper2,660000,178,0,448669809,860907209,1794679236,,0,0,204,0,0,0,0,57,12,0,0,76,69631597,439927528,2314,0,156043,1743,456878,92,0,9980,3,0,0
12,Oracle,5000,25,Lower0.5Upper2,0,0,0,448669809,860907209,1794679236,,0,0,204,0,0,0,0,57,12,0,0,76,69631597,439927528,2314,0,156043,1743,456878,92,0,9980,3,0,0
12,Dist L2,5000,25,Lower0.5Upper2,224,312,0,448669809,860907209,1794679236,,0,0,204,0,0,0,0,57,12,0,0,76,69631597,439927528,2314,0,156043,1743,456878,92,0,9980,3,0,0
13,Value,5000,25,Lower0.5Upper2,294,409,0,448669809,876582642,1794679236,,0,0,200,0,0,0,0,55,12,0,0,75,69127264,452630798,2251,0,162773,1769,497453,85,0,10113,3,0,0
13,Vector,5000,25,Lower0.5Upper2,1080000,301,0,448669809,876582642,1794679236,,0,0,200,0,0,0,0,55,12,0,0,75,69127264,452630798,2251,0,162773,1769,497453,85,0,10113,3,0,0
13,Oracle Vector,5000,25,Lower0.5Upper2,690000,185,0,448669809,876582642,1794679236,,0,0,200,0,0,0,0,55,12,0,0,75,69127264,452630798,2251,0,162773,1769,497453,85,0,10113,3,0,0
13,Oracle,5000,25,Lower0.5Upper2,0,0,0,448669809,876582642,1794679236,,0,0,200,0,0,0,0,55,12,0,0,75,69127264,452630798,2251,0,162773,1769,497453,85,0,10113,3,0,0
13,Dist L2,5000,25,Lower0.5Upper2,230,319,0,448669809,876582642,1794679236,,0,0,200,0,0,0,0,55,12,0,0,75,69127264,452630798,2251,0,162773,1769,497453,85,0,10113,3,0,0
14,Value,5000,25,Lower0.5Upper2,336,470,0,448669809,890113669,1794679236,,0,0,117,0,0,0,0,54,10,0,0,77,67998933,466094678,2046,0,164331,1732,507121,83,0,10146,3,0,0
14,Vector,5000,25,Lower0.5Upper2,1100000,306,0,448669809,890113669,1794679236,,0,0,117,0,0,0,0,54,10,0,0,77,67998933,466094678,2046,0,164331,1732,507121,83,0,10146,3,0,0
14,Oracle Vector,5000,25,Lower0.5Upper2,710000,190,0,448669809,890113669,1794679236,,0,0,117,0,0,0,0,54,10,0,0,77,67998933,466094678,2046,0,164331,1732,507121,83,0,10146,3,0,0
14,Oracle,5000,25,Lower0.5Upper2,0,0,0,448669809,890113669,1794679236,,0,0,117,0,0,0,0,54,10,0,0,77,67998933,466094678,2046,0,164331,1732,507121,83,0,10146,3,0,0
14,Dist L2,5000,25,Lower0.5Upper2,238,329,0,448669809,890113669,1794679236,,0,0,117,0,0,0,0,54,10,0,0,77,67998933,466094678,2046,0,164331,1732,507121,83,0,10146,3,0,0
15,Value,5000,25,Lower0.5Upper2,250361,592,1,451393523,902787046,1805574092,,0,0,117,0,0,0,0,48,10,0,0,78,67075646,478020438,1961,0,162208,1707,527558,81,0,10182,3,0,0
