LoopIndex,Monitoring Scheme,Vector Length,# Nodes,Approximation,Bandwidth,# Messages,# Full Syncs,Lower-Bound,Function's Value,Upper-Bound,,Server 1,Server 2,Server 3,Server 4,Server 5,Server 6,Server 7,Server 8,Server 9,Server 10,Server 11,Server 12,Server 13,Server 14,Server 15,Server 16,Server 17,Server 18,Server 19,Server 20,Server 21,Server 22,Server 23,Server 24,Server 25,Server 26,Server 27,Server 28,Server 29,Server 30,Server 31,Server 32,Server 33,Server 34,Server 35,Server 36,Server 37,Server 38,Server 39,Server 40,Server 41,Server 42,Server 43,Server 44,Server 45,Server 46,Server 47,Server 48,Server 49,Server 50,Server 51,Server 52,Server 53,Server 54,Server 55,Server 56,Server 57,Server 58,Server 59,Server 60,Server 61,Server 62,Server 63,Server 64,Server 65,Server 66,Server 67,Server 68,Server 69,Server 70,Server 71,Server 72,Server 73,Server 74,Server 75,Server 76,Server 77,Server 78,Server 79,Server 80,Server 81,Server 82,Server 83,Server 84,Server 85,Server 86,Server 87,Server 88,Server 89,Server 90,Server 91,Server 92,Server 93,Server 94,Server 95,Server 96,Server 97,Server 98,Server 99,Server 100,Server 101,Server 102,Server 103,Server 104,Server 105,Server 106,Server 107,Server 108,Server 109,Server 110,Server 111,Server 112,Server 113,Server 114,Server 115,Server 116,Server 117,Server 118,Server 119,Server 120,Server 121,Server 122,Server 123,Server 124,Server 125,Server 126,Server 127,Server 128,Server 129,Server 130,Server 131,Server 132,Server 133,Server 134,Server 135,Server 136,Server 137,Server 138,Server 139,Server 140,Server 141,Server 142,Server 143,Server 144,Server 145,Server 146,Server 147,Server 148,Server 149,Server 150,Server 151,Server 152,Server 153,Server 154,Server 155,Server 156,Server 157,Server 158,Server 159,Server 160,Server 161,Server 162,Server 163,Server 164,Server 165,Server 166,Server 167,Server 168,Server 169
90,Oracle,20402,169,Lower0.5Upper2,0,0,0,134073417.5,384908871,536293670,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,166,2,0,0,0,0,0,0,0,1,5,1945,638250,47372596,10767390,149,0,0,0,0,0,0,0,3,2427,26182,2536064,45637519,3545970,6196,7,0,0,0,0,0,1,3,145,2721,9284,403,4,37,2,0,0,0,0,0,0,2,117,42527,0,1,0,0,0,0,0,0,1,19,59,17,7,0,0,0,0,0,0,0,0,40761,94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
90,Naive,20402,169,Lower0.5Upper2,310314420,15210,90,192454435.5,384908871,769817742,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,166,2,0,0,0,0,0,0,0,1,5,1945,638250,47372596,10767390,149,0,0,0,0,0,0,0,3,2427,26182,2536064,45637519,3545970,6196,7,0,0,0,0,0,1,3,145,2721,9284,403,4,37,2,0,0,0,0,0,0,2,117,42527,0,1,0,0,0,0,0,0,1,19,59,17,7,0,0,0,0,0,0,0,0,40761,94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
90,Dist L2,20402,169,Lower0.5Upper2,6900805,7305,1,155951757.5,384908871,623807030,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,166,2,0,0,0,0,0,0,0,1,5,1945,638250,47372596,10767390,149,0,0,0,0,0,0,0,3,2427,26182,2536064,45637519,3545970,6196,7,0,0,0,0,0,1,3,145,2721,9284,403,4,37,2,0,0,0,0,0,0,2,117,42527,0,1,0,0,0,0,0,0,1,19,59,17,7,0,0,0,0,0,0,0,0,40761,94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
91,Value,20402,169,Lower0.5Upper2,55174052,14661,8,195443298.5,381110992,781773194,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,170,2,0,0,0,0,0,0,0,1,4,2124,639389,47268149,10679364,144,0,0,0,0,0,0,0,3,2579,26870,2534392,44375556,3572125,6118,7,0,0,0,0,0,1,3,147,2838,9433,385,4,31,4,0,0,0,0,0,0,2,124,38739,0,1,0,0,0,0,0,0,2,28,59,19,7,0,0,0,0,0,0,0,0,42781,105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
91,FGM,20402,169,Lower0.5Upper2,55186717,23765,8,195443298.5,381110992,781773194,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,170,2,0,0,0,0,0,0,0,1,4,2124,639389,47268149,10679364,144,0,0,0,0,0,0,0,3,2579,26870,2534392,44375556,3572125,6118,7,0,0,0,0,0,1,3,147,2838,9433,385,4,31,4,0,0,0,0,0,0,2,124,38739,0,1,0,0,0,0,0,0,2,28,59,19,7,0,0,0,0,0,0,0,0,42781,105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
91,Vector,20402,169,Lower0.5Upper2,67122580,4236,0,134073417.5,381110992,536293670,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,170,2,0,0,0,0,0,0,0,1,4,2124,639389,47268149,10679364,144,0,0,0,0,0,0,0,3,2579,26870,2534392,44375556,3572125,6118,7,0,0,0,0,0,1,3,147,2838,9433,385,4,31,4,0,0,0,0,0,0,2,124,38739,0,1,0,0,0,0,0,0,2,28,59,19,7,0,0,0,0,0,0,0,0,42781,105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
91,Oracle Vector,20402,169,Lower0.5Upper2,39090232,2452,0,134073417.5,381110992,536293670,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,170,2,0,0,0,0,0,0,0,1,4,2124,639389,47268149,10679364,144,0,0,0,0,0,0,0,3,2579,26870,2534392,44375556,3572125,6118,7,0,0,0,0,0,1,3,147,2838,9433,385,4,31,4,0,0,0,0,0,0,2,124,38739,0,1,0,0,0,0,0,0,2,28,59,19,7,0,0,0,0,0,0,0,0,42781,105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
91,Oracle,20402,169,Lower0.5Upper2,0,0,0,134073417.5,381110992,536293670,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,170,2,0,0,0,0,0,0,0,1,4,2124,639389,47268149,10679364,144,0,0,0,0,0,0,0,3,2579,26870,2534392,44375556,3572125,6118,7,0,0,0,0,0,1,3,147,2838,9433,385,4,31,4,0,0,0,0,0,0,2,124,38739,0,1,0,0,0,0,0,0,2,28,59,19,7,0,0,0,0,0,0,0,0,42781,105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
91,Naive,20402,169,Lower0.5Upper2,313762358,15379,91,190555496,381110992,762221984,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,170,2,0,0,0,0,0,0,0,1,4,2124,639389,47268149,10679364,144,0,0,0,0,0,0,0,3,2579,26870,2534392,44375556,3572125,6118,7,0,0,0,0,0,1,3,147,2838,9433,385,4,31,4,0,0,0,0,0,0,2,124,38739,0,1,0,0,0,0,0,0,2,28,59,19,7,0,0,0,0,0,0,0,0,42781,105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
91,Dist L2,20402,169,Lower0.5Upper2,6900927,7472,1,155951757.5,381110992,623807030,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,170,2,0,0,0,0,0,0,0,1,4,2124,639389,47268149,10679364,144,0,0,0,0,0,0,0,3,2579,26870,2534392,44375556,3572125,6118,7,0,0,0,0,0,1,3,147,2838,9433,385,4,31,4,0,0,0,0,0,0,2,124,38739,0,1,0,0,0,0,0,0,2,28,59,19,7,0,0,0,0,0,0,0,0,42781,105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
92,Value,20402,169,Lower0.5Upper2,55174144,14786,8,195443298.5,377101519,781773194,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,180,2,0,0,0,0,0,0,0,2,4,2403,638774,47243212,10371272,132,0,0,0,0,0,0,0,3,2784,26906,2565816,43296294,3589849,5836,5,0,0,0,0,0,1,3,139,2932,9618,385,4,30,4,0,0,0,0,0,0,2,131,36171,0,1,0,0,0,0,0,0,4,30,57,17,7,0,0,0,0,0,0,0,0,42718,122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
92,FGM,20402,169,Lower0.5Upper2,55187238,24286,8,195443298.5,377101519,781773194,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,180,2,0,0,0,0,0,0,0,2,4,2403,638774,47243212,10371272,132,0,0,0,0,0,0,0,3,2784,26906,2565816,43296294,3589849,5836,5,0,0,0,0,0,1,3,139,2932,9618,385,4,30,4,0,0,0,0,0,0,2,131,36171,0,1,0,0,0,0,0,0,4,30,57,17,7,0,0,0,0,0,0,0,0,42718,122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
92,Vector,20402,169,Lower0.5Upper2,67653032,4269,0,134073417.5,377101519,536293670,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,180,2,0,0,0,0,0,0,0,2,4,2403,638774,47243212,10371272,132,0,0,0,0,0,0,0,3,2784,26906,2565816,43296294,3589849,5836,5,0,0,0,0,0,1,3,139,2932,9618,385,4,30,4,0,0,0,0,0,0,2,131,36171,0,1,0,0,0,0,0,0,4,30,57,17,7,0,0,0,0,0,0,0,0,42718,122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
92,Oracle Vector,20402,169,Lower0.5Upper2,39335056,2465,0,134073417.5,377101519,536293670,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,180,2,0,0,0,0,0,0,0,2,4,2403,638774,47243212,10371272,132,0,0,0,0,0,0,0,3,2784,26906,2565816,43296294,3589849,5836,5,0,0,0,0,0,1,3,139,2932,9618,385,4,30,4,0,0,0,0,0,0,2,131,36171,0,1,0,0,0,0,0,0,4,30,57,17,7,0,0,0,0,0,0,0,0,42718,122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
92,Oracle,20402,169,Lower0.5Upper2,0,0,0,134073417.5,377101519,536293670,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,180,2,0,0,0,0,0,0,0,2,4,2403,638774,47243212,10371272,132,0,0,0,0,0,0,0,3,2784,26906,2565816,43296294,3589849,5836,5,0,0,0,0,0,1,3,139,2932,9618,385,4,30,4,0,0,0,0,0,0,2,131,36171,0,1,0,0,0,0,0,0,4,30,57,17,7,0,0,0,0,0,0,0,0,42718,122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
92,Naive,20402,169,Lower0.5Upper2,317210296,15548,92,188550759.5,377101519,754203038,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,180,2,0,0,0,0,0,0,0,2,4,2403,638774,47243212,10371272,132,0,0,0,0,0,0,0,3,2784,26906,2565816,43296294,3589849,5836,5,0,0,0,0,0,1,3,139,2932,9618,385,4,30,4,0,0,0,0,0,0,2,131,36171,0,1,0,0,0,0,0,0,4,30,57,17,7,0,0,0,0,0,0,0,0,42718,122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
92,Dist L2,20402,169,Lower0.5Upper2,6900977,7529,1,155951757.5,377101519,623807030,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,180,2,0,0,0,0,0,0,0,2,4,2403,638774,47243212,10371272,132,0,0,0,0,0,0,0,3,2784,26906,2565816,43296294,3589849,5836,5,0,0,0,0,0,1,3,139,2932,9618,385,4,30,4,0,0,0,0,0,0,2,131,36171,0,1,0,0,0,0,0,0,4,30,57,17,7,0,0,0,0,0,0,0,0,42718,122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
93,Value,20402,169,Lower0.5Upper2,55174234,14910,8,195443298.5,373492002,781773194,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,187,3,0,1,0,0,0,0,0,5,4,2376,637659,46933632,10242184,128,0,0,0,0,0,0,0,2,2784,27311,2585931,42439326,3611242,5503,6,0,0,0,0,0,0,3,140,2906,9710,364,4,29,4,0,0,0,0,0,0,2,127,34357,0,1,0,0,0,0,0,0,4,29,57,17,7,0,0,0,0,0,0,0,0,41740,138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
93,FGM,20402,169,Lower0.5Upper2,55188261,25309,8,195443298.5,373492002,781773194,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,187,3,0,1,0,0,0,0,0,5,4,2376,637659,46933632,10242184,128,0,0,0,0,0,0,0,2,2784,27311,2585931,42439326,3611242,5503,6,0,0,0,0,0,0,3,140,2906,9710,364,4,29,4,0,0,0,0,0,0,2,127,34357,0,1,0,0,0,0,0,0,4,29,57,17,7,0,0,0,0,0,0,0,0,41740,138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
