LoopIndex,Monitoring Scheme,Vector Length,# Nodes,Approximation,Bandwidth,# Messages,# Full Syncs,Lower-Bound,Function's Value,Upper-Bound,,Server 1,Server 2,Server 3,Server 4
18,Vector,20402,4,Lower0.5Upper2,571256,37,0,134073417.5,261777781,536293670,,14127,185317029,88292,6980057
18,Oracle Vector,20402,4,Lower0.5Upper2,326432,20,0,134073417.5,261777781,536293670,,14127,185317029,88292,6980057
18,Oracle,20402,4,Lower0.5Upper2,0,0,0,134073417.5,261777781,536293670,,14127,185317029,88292,6980057
18,Naive,20402,4,Lower0.5Upper2,1468944,72,18,130888890.5,261777781,523555562,,14127,185317029,88292,6980057
18,Dist L2,20402,4,Lower0.5Upper2,28,36,0,134073417.5,261777781,536293670,,14127,185317029,88292,6980057
19,Value,20402,4,Lower0.5Upper2,24,30,0,134073417.5,266914601,536293670,,13731,189100986,88201,7136259
19,FGM,20402,4,Lower0.5Upper2,122,122,0,134073417.5,266914601,536293670,,13731,189100986,88201,7136259
19,Vector,20402,4,Lower0.5Upper2,571256,37,0,134073417.5,266914601,536293670,,13731,189100986,88201,7136259
19,Oracle Vector,20402,4,Lower0.5Upper2,326432,20,0,134073417.5,266914601,536293670,,13731,189100986,88201,7136259
19,Oracle,20402,4,Lower0.5Upper2,0,0,0,134073417.5,266914601,536293670,,13731,189100986,88201,7136259
19,Naive,20402,4,Lower0.5Upper2,1550552,76,19,133457300.5,266914601,533829202,,13731,189100986,88201,7136259
19,Dist L2,20402,4,Lower0.5Upper2,28,36,0,134073417.5,266914601,536293670,,13731,189100986,88201,7136259
20,Value,20402,4,Lower0.5Upper2,28,35,0,134073417.5,276704350,536293670,,13696,196809994,86380,7308904
20,FGM,20402,4,Lower0.5Upper2,123,123,0,134073417.5,276704350,536293670,,13696,196809994,86380,7308904
20,Vector,20402,4,Lower0.5Upper2,652864,42,0,134073417.5,276704350,536293670,,13696,196809994,86380,7308904
20,Oracle Vector,20402,4,Lower0.5Upper2,408040,25,0,134073417.5,276704350,536293670,,13696,196809994,86380,7308904
20,Oracle,20402,4,Lower0.5Upper2,0,0,0,134073417.5,276704350,536293670,,13696,196809994,86380,7308904
20,Naive,20402,4,Lower0.5Upper2,1632160,80,20,138352175,276704350,553408700,,13696,196809994,86380,7308904
20,Dist L2,20402,4,Lower0.5Upper2,32,41,0,134073417.5,276704350,536293670,,13696,196809994,86380,7308904
21,Value,20402,4,Lower0.5Upper2,28,35,0,134073417.5,283750353,536293670,,13938,202616949,87254,7344446
21,FGM,20402,4,Lower0.5Upper2,123,123,0,134073417.5,283750353,536293670,,13938,202616949,87254,7344446
21,Vector,20402,4,Lower0.5Upper2,652864,42,0,134073417.5,283750353,536293670,,13938,202616949,87254,7344446
21,Oracle Vector,20402,4,Lower0.5Upper2,408040,25,0,134073417.5,283750353,536293670,,13938,202616949,87254,7344446
21,Oracle,20402,4,Lower0.5Upper2,0,0,0,134073417.5,283750353,536293670,,13938,202616949,87254,7344446
21,Naive,20402,4,Lower0.5Upper2,1713768,84,21,141875176.5,283750353,567500706,,13938,202616949,87254,7344446
21,Dist L2,20402,4,Lower0.5Upper2,32,41,0,134073417.5,283750353,536293670,,13938,202616949,87254,7344446
22,Value,20402,4,Lower0.5Upper2,28,35,0,134073417.5,288604024,536293670,,14241,206398621,88316,7418209
22,FGM,20402,4,Lower0.5Upper2,123,123,0,134073417.5,288604024,536293670,,14241,206398621,88316,7418209
22,Vector,20402,4,Lower0.5Upper2,652864,42,0,134073417.5,288604024,536293670,,14241,206398621,88316,7418209
22,Oracle Vector,20402,4,Lower0.5Upper2,408040,25,0,134073417.5,288604024,536293670,,14241,206398621,88316,7418209
22,Oracle,20402,4,Lower0.5Upper2,0,0,0,134073417.5,288604024,536293670,,14241,206398621,88316,7418209
22,Naive,20402,4,Lower0.5Upper2,1795376,88,22,144302012,288604024,577208048,,14241,206398621,88316,7418209
22,Dist L2,20402,4,Lower0.5Upper2,32,41,0,134073417.5,288604024,536293670,,14241,206398621,88316,7418209
23,Value,20402,4,Lower0.5Upper2,28,35,0,134073417.5,292164098,536293670,,14755,208973331,88042,7493180
23,FGM,20402,4,Lower0.5Upper2,123,123,0,134073417.5,292164098,536293670,,14755,208973331,88042,7493180
23,Vector,20402,4,Lower0.5Upper2,652864,42,0,134073417.5,292164098,536293670,,14755,208973331,88042,7493180
23,Oracle Vector,20402,4,Lower0.5Upper2,408040,25,0,134073417.5,292164098,536293670,,14755,208973331,88042,7493180
23,Oracle,20402,4,Lower0.5Upper2,0,0,0,134073417.5,292164098,536293670,,14755,208973331,88042,7493180
23,Naive,20402,4,Lower0.5Upper2,1876984,92,23,146082049,292164098,584328196,,14755,208973331,88042,7493180
23,Dist L2,20402,4,Lower0.5Upper2,32,41,0,134073417.5,292164098,536293670,,14755,208973331,88042,7493180
24,Value,20402,4,Lower0.5Upper2,28,35,0,134073417.5,295358506,536293670,,15218,211422517,86415,7546363
24,FGM,20402,4,Lower0.5Upper2,123,123,0,134073417.5,295358506,536293670,,15218,211422517,86415,7546363
24,Vector,20402,4,Lower0.5Upper2,652864,42,0,134073417.5,295358506,536293670,,15218,211422517,86415,7546363
24,Oracle Vector,20402,4,Lower0.5Upper2,408040,25,0,134073417.5,295358506,536293670,,15218,211422517,86415,7546363
24,Oracle,20402,4,Lower0.5Upper2,0,0,0,134073417.5,295358506,536293670,,15218,211422517,86415,7546363
24,Naive,20402,4,Lower0.5Upper2,1958592,96,24,147679253,295358506,590717012,,15218,211422517,86415,7546363
24,Dist L2,20402,4,Lower0.5Upper2,32,41,0,134073417.5,295358506,536293670,,15218,211422517,86415,7546363
25,Value,20402,4,Lower0.5Upper2,28,35,0,134073417.5,297789276,536293670,,15708,213436433,87073,7552147
25,FGM,20402,4,Lower0.5Upper2,123,123,0,134073417.5,297789276,536293670,,15708,213436433,87073,7552147
25,Vector,20402,4,Lower0.5Upper2,652864,42,0,134073417.5,297789276,536293670,,15708,213436433,87073,7552147
25,Oracle Vector,20402,4,Lower0.5Upper2,408040,25,0,134073417.5,297789276,536293670,,15708,213436433,87073,7552147
25,Oracle,20402,4,Lower0.5Upper2,0,0,0,134073417.5,297789276,536293670,,15708,213436433,87073,7552147
25,Naive,20402,4,Lower0.5Upper2,2040200,100,25,148894638,297789276,595578552,,15708,213436433,87073,7552147
25,Dist L2,20402,4,Lower0.5Upper2,32,41,0,134073417.5,297789276,536293670,,15708,213436433,87073,7552147
26,Value,20402,4,Lower0.5Upper2,28,35,0,134073417.5,299363338,536293670,,16004,214664144,87791,7573778
26,FGM,20402,4,Lower0.5Upper2,123,123,0,134073417.5,299363338,536293670,,16004,214664144,87791,7573778
26,Vector,20402,4,Lower0.5Upper2,652864,42,0,134073417.5,299363338,536293670,,16004,214664144,87791,7573778
26,Oracle Vector,20402,4,Lower0.5Upper2,408040,25,0,134073417.5,299363338,536293670,,16004,214664144,87791,7573778
26,Oracle,20402,4,Lower0.5Upper2,0,0,0,134073417.5,299363338,536293670,,16004,214664144,87791,7573778
26,Naive,20402,4,Lower0.5Upper2,2121808,104,26,149681669,299363338,598726676,,16004,214664144,87791,7573778
26,Dist L2,20402,4,Lower0.5Upper2,32,41,0,134073417.5,299363338,536293670,,16004,214664144,87791,7573778
27,Value,20402,4,Lower0.5Upper2,28,35,0,134073417.5,300446230,536293670,,16020,215561264,87360,7580322
27,FGM,20402,4,Lower0.5Upper2,123,123,0,134073417.5,300446230,536293670,,16020,215561264,87360,7580322
27,Vector,20402,4,Lower0.5Upper2,652864,42,0,134073417.5,300446230,536293670,,16020,215561264,87360,7580322
27,Oracle Vector,20402,4,Lower0.5Upper2,408040,25,0,134073417.5,300446230,536293670,,16020,215561264,87360,7580322
27,Oracle,20402,4,Lower0.5Upper2,0,0,0,134073417.5,300446230,536293670,,16020,215561264,87360,7580322
27,Naive,20402,4,Lower0.5Upper2,2203416,108,27,150223115,300446230,600892460,,16020,215561264,87360,7580322
27,Dist L2,20402,4,Lower0.5Upper2,32,41,0,134073417.5,300446230,536293670,,16020,215561264,87360,7580322
28,Value,20402,4,Lower0.5Upper2,28,35,0,134073417.5,300966450,536293670,,16175,216008557,87499,7573046
28,FGM,20402,4,Lower0.5Upper2,123,123,0,134073417.5,300966450,536293670,,16175,216008557,87499,7573046
28,Vector,20402,4,Lower0.5Upper2,652864,42,0,134073417.5,300966450,536293670,,16175,216008557,87499,7573046
28,Oracle Vector,20402,4,Lower0.5Upper2,408040,25,0,134073417.5,300966450,536293670,,16175,216008557,87499,7573046
28,Oracle,20402,4,Lower0.5Upper2,0,0,0,134073417.5,300966450,536293670,,16175,216008557,87499,7573046
28,Naive,20402,4,Lower0.5Upper2,2285024,112,28,150483225,300966450,601932900,,16175,216008557,87499,7573046
28,Dist L2,20402,4,Lower0.5Upper2,32,41,0,134073417.5,300966450,536293670,,16175,216008557,87499,7573046
29,Value,20402,4,Lower0.5Upper2,28,35,0,134073417.5,301156665,536293670,,16066,216172098,87435,7578502
29,FGM,20402,4,Lower0.5Upper2,123,123,0,134073417.5,301156665,536293670,,16066,216172098,87435,7578502
29,Vector,20402,4,Lower0.5Upper2,652864,42,0,134073417.5,301156665,536293670,,16066,216172098,87435,7578502
29,Oracle Vector,20402,4,Lower0.5Upper2,408040,25,0,134073417.5,301156665,536293670,,16066,216172098,87435,7578502
29,Oracle,20402,4,Lower0.5Upper2,0,0,0,134073417.5,301156665,536293670,,16066,216172098,87435,7578502
29,Naive,20402,4,Lower0.5Upper2,2366632,116,29,150578332.5,301156665,602313330,,16066,216172098,87435,7578502
29,Dist L2,20402,4,Lower0.5Upper2,32,41,0,134073417.5,301156665,536293670,,16066,216172098,87435,7578502
30,Value,20402,4,Lower0.5Upper2,28,35,0,134073417.5,300903743,536293670,,16089,216023320,85746,7574599
30,FGM,20402,4,Lower0.5Upper2,123,123,0,134073417.5,300903743,536293670,,16089,216023320,85746,7574599
30,Vector,20402,4,Lower0.5Upper2,652864,42,0,134073417.5,300903743,536293670,,16089,216023320,85746,7574599
