LoopIndex,Monitoring Scheme,Vector Length,# Nodes,Approximation,Bandwidth,# Messages,# Full Syncs,Lower-Bound,Function's Value,Upper-Bound,,Server 1,Server 2,Server 3,Server 4,Server 5,Server 6,Server 7,Server 8,Server 9,Server 10,Entropy
4000,Vector,13,10,Additive1.5,11908,1137,5,4.01605563804093,5.50261916827943,7.01605563804093,,3.33941454369792,4.54678785665821,4.76855962169189,3.64455323334096,4.81982054590411,1.72049756468211,4.82843523022125,4.8486240000686,4.2862050388515,5.15112814389774,3.89810730091521
4000,Oracle Vector,13,10,Additive1.5,3328,310,2,2.80257147803869,5.50261916827943,5.80257147803869,,3.33941454369792,4.54678785665821,4.76855962169189,3.64455323334096,4.81982054590411,1.72049756468211,4.82843523022125,4.8486240000686,4.2862050388515,5.15112814389774,3.89810730091521
4000,Oracle,13,10,Additive1.5,780,60,3,4.35886115508409,5.50261916827943,7.35886115508409,,3.33941454369792,4.54678785665821,4.76855962169189,3.64455323334096,4.81982054590411,1.72049756468211,4.82843523022125,4.8486240000686,4.2862050388515,5.15112814389774,3.89810730091521
4000,Naive,13,10,Additive1.5,520000,40000,4000,4.00261916827943,5.50261916827943,7.00261916827943,,3.33941454369792,4.54678785665821,4.76855962169189,3.64455323334096,4.81982054590411,1.72049756468211,4.82843523022125,4.8486240000686,4.2862050388515,5.15112814389774,3.89810730091521
4000,Dist L1,13,10,Additive1.5,4036,2150,10,4.01605563804093,5.50261916827943,7.01605563804093,,3.33941454369792,4.54678785665821,4.76855962169189,3.64455323334096,4.81982054590411,1.72049756468211,4.82843523022125,4.8486240000686,4.2862050388515,5.15112814389774,3.89810730091521
4000,Value,14,10,Additive1.5,6962,3040,18,3.60306753326592,5.07455219000369,6.60306753326592,,2.9384452855684,4.03563189931307,4.1888355734013,3.67995137402663,4.88983561755701,1.21743266308092,4.90010114855903,4.65424086449782,4.01557831133374,4.24063625778697,3.89810730091521
4000,FGM,14,10,Additive1.5,53113,48613,18,3.60306753326592,5.07455219000369,6.60306753326592,,2.9384452855684,4.03563189931307,4.1888355734013,3.67995137402663,4.88983561755701,1.21743266308092,4.90010114855903,4.65424086449782,4.01557831133374,4.24063625778697,3.89810730091521
4000,Vector,14,10,Additive1.5,11676,1019,5,3.74470975931957,5.07455219000369,6.74470975931957,,2.9384452855684,4.03563189931307,4.1888355734013,3.67995137402663,4.88983561755701,1.21743266308092,4.90010114855903,4.65424086449782,4.01557831133374,4.24063625778697,3.89810730091521
4000,Oracle Vector,14,10,Additive1.5,3780,338,2,3.00336996746648,5.07455219000369,6.00336996746648,,2.9384452855684,4.03563189931307,4.1888355734013,3.67995137402663,4.88983561755701,1.21743266308092,4.90010114855903,4.65424086449782,4.01557831133374,4.24063625778697,3.89810730091521
4000,Oracle,14,10,Additive1.5,560,40,2,2.85573565782,5.07455219000369,5.85573565782,,2.9384452855684,4.03563189931307,4.1888355734013,3.67995137402663,4.88983561755701,1.21743266308092,4.90010114855903,4.65424086449782,4.01557831133374,4.24063625778697,3.89810730091521
