LoopIndex,Monitoring Scheme,Vector Length,# Nodes,Approximation,Bandwidth,# Messages,# Full Syncs,Lower-Bound,Function's Value,Upper-Bound,,Server 1,Server 2,Server 3,Server 4,Server 5,Server 6,Server 7,Server 8,Server 9,Server 10,Server 11,Server 12,Server 13,Server 14,Server 15,Server 16,Server 17,Server 18,Server 19,Server 20,Server 21,Server 22,Server 23,Server 24,Server 25,Server 26,Server 27,Server 28,Server 29,Server 30,Server 31,Server 32,Server 33,Server 34,Server 35,Server 36
142,Naive,81,36,Combined_Lower0.5Upper2_Additive100000,414072,5112,142,-93373.8131039622,13252.3737920756,126504.747584151,,0.178647070979191,0.067885601449433,0.0561588930954213,0.100680912560292,0.255477601423129,0.201148195787402,0.33509161389928,0.28149929750371,0.798388398209381,1.08917860756601,0.370635111793302,0.335065520620091,51.6510116355478,24.8989848425877,20.2453934323936,37.9604400357712,38.7484787885088,57.5173026676946,206.169731271601,118.266609463226,130.168353548133,89.5215797946056,58.2888078007039,132.811897832857,7.63322091654513,8.84487651337477,8.38470779116548,9.35156154639015,7.12128330755346,12.1001815865608,4.67871332185094,5.64916018755137,3.15717992685755,2.745684577682,2.52869676586447,1.97274186273696
143,Naive,81,36,Combined_Lower0.5Upper2_Additive100000,416988,5148,143,-94571.5732851083,10856.8534297833,121713.706859567,,0.139124629254726,0.0640768830923393,0.0488307988035098,0.0628568977535886,0.242901177064272,0.198206146534588,0.180897810433066,0.161656270731947,0.594174378213235,0.819532728112068,0.287934673326095,0.236196505645237,43.5018081258047,19.3482101668298,17.5079029321452,36.2271455043127,26.3123723603011,47.3215431037501,186.850044672944,83.9855148347489,93.8708190731243,77.5246362492992,47.5731367340403,132.338868386169,7.20097229876627,8.27604198100077,7.18984660139738,8.36899638317684,6.52865755882157,10.4965207892441,3.55320622341722,4.22067948368741,2.66787630769921,2.39041143952485,2.16226426195061,1.49796724078756
144,Naive,81,36,Combined_Lower0.5Upper2_Additive100000,419904,5184,144,-95278.911104732,9442.17779053597,118884.355581072,,0.0962340096660154,0.0464545414298857,0.0413651941298159,0.0736636369826035,0.250739175547128,0.21000380590674,0.116127940919561,0.142905054745319,0.498118783877997,0.699909176629242,0.302273270560894,0.180868559355327,29.6113213608928,15.9638087334815,13.5792143494016,29.1961771757064,21.5911497935826,47.8215255919974,156.913206517992,68.1447529704962,72.6991823414801,54.2359977196026,43.5844508418786,106.235952638227,5.45631128614766,7.7515048704325,5.43772088546515,7.3420512823774,6.66469172996111,11.9645959111115,3.84127146427742,3.19901708700906,2.13773041385388,2.16174278843432,2.23101735225016,1.54224658613721
145,Naive,81,36,Combined_Lower0.5Upper2_Additive100000,422820,5220,145,-95915.218449563,8169.56310087395,116339.126201748,,0.0576479311994905,0.0443362124322094,0.0375718620499232,0.0331922162911218,0.126077160879179,0.111146049036367,0.119420614494115,0.118917828777695,0.518140447879688,0.686797347170612,0.282283491651616,0.186814395921604,28.5580792615102,12.8270071124795,11.2424760934144,27.153190369564,17.1553337762109,41.1493744164977,164.863432381043,71.1979867908802,55.5847602039591,38.7757953028941,38.8475066132836,103.357294520125,2.82074388126787,5.71795115757604,4.63277625901802,5.77218233597485,5.1902277131813,10.0832454638045,3.38060418400622,2.4394013495836,1.73237688633882,1.65025498701162,1.88258365462278,1.70318832448583
146,Naive,81,36,Combined_Lower0.5Upper2_Additive100000,425736,5256,146,-96613.872600761,6772.25479847799,113544.509596956,,0.0488625795315948,0.0306270647393196,0.0328437452728274,0.036982899805581,0.104015300498263,0.101658212287056,0.111999799668792,0.127016014486177,0.447942503083299,0.65156663180983,0.259618871700674,0.165502243790566,28.0075951536536,11.8688778389346,10.7871259643275,20.3250099486743,14.1142475485086,36.7980086968589,137.138246750953,53.4238889228516,52.4589997019792,44.3882521036681,47.522218301886,79.7914355775522,2.5696705124427,4.02557987073447,4.22877394862111,5.15788433354566,3.77687122932587,7.68765520841849,2.64711231207299,1.62686553736126,1.33054853831187,1.09937515698461,1.32309216210871,1.20606182543699
147,Naive,81,36,Combined_Lower0.5Upper2_Additive100000,428652,5292,147,-97124.6361994399,5750.72760112028,111501.455202241,,0.0434572925358465,0.0262456743283327,0.0277497181084117,0.0254496782639487,0.113963815363279,0.0911026322888256,0.117155610531914,0.119175985995583,0.493342690420598,0.639686158005376,0.271363599086253,0.148125808461591,26.8622247886572,11.4395265871977,12.719746670786,11.225650961574,13.1797734308233,33.6224727031428,102.59279179901,57.4048185040561,47.9422790530445,41.0544526294517,42.8906964805362,65.9794616165534,2.22548376479153,4.02395051741104,3.21885477772961,5.5712430094698,4.45414849883211,5.99351552889419,2.20305460237957,1.43351021212626,1.1324561620286,0.924940112767775,1.28270579929406,0.986557110483611
148,Naive,81,36,Combined_Lower0.5Upper2_Additive100000,431568,5328,148,-97515.648690173,4968.70261965395,109937.405239308,,0.0397486317666243,0.0327662047910191,0.0257753051657762,0.0289654179913623,0.09108617395838,0.075438604850534,0.112106439768923,0.121602054132992,0.412870464953472,0.561274496953731,0.21291620762248,0.126636863720683,28.1306231551269,13.8718930296422,13.087221226198,11.8199277604023,10.3153355762237,26.6184264236256,102.858039345216,45.147314321987,37.2193771024486,37.2314218719867,36.1924178133727,49.6800998088014,1.42717772274399,3.60114350209226,3.22771432822986,5.29132967667915,3.44460958703382,5.24895471274147,1.53278873098799,1.1591016504891,0.940703078690791,0.986025770289986,1.08182091940461,1.13901838029397
149,Naive,81,36,Combined_Lower0.5Upper2_Additive100000,434484,5364,149,-97848.0327730657,4303.93445386862,108607.868907737,,0.0400539430079181,0.0218512234079059,0.0233638163045707,0.0235264606777948,0.0901221634923326,0.0772341269677152,0.0932678580179582,0.10681550849356,0.412893874898862,0.437183898026029,0.175976784694193,0.118802179070725,20.9760885295877,14.2429980279505,13.8027646976468,12.2368187996959,10.8838103313094,22.2454192227872,93.2216732966175,22.589152821477,35.0823295746847,31.4785594760047,36.5818455025762,53.5836497252023,1.29524051076928,2.6289486336757,2.77060715074393,3.48386389521321,3.26048275714927,4.43432402715851,1.20240797621994,1.0851902047483,0.87326207646696,0.638759584698812,0.982858651566608,0.77819901871137
150,Naive,81,36,Combined_Lower0.5Upper2_Additive100000,437400,5400,150,-98118.3520057149,3763.29598857014,107526.59197714,,0.033588847173449,0.0145112370419907,0.0157156367466105,0.0350231485247795,0.0707716203620553,0.0475071719964816,0.0909685592229152,0.102375695064327,0.410337078926582,0.444619095762666,0.192349498805185,0.126979329157632,19.0282870452448,13.4788525798008,16.9110378210952,11.2232287780896,9.97372299629366,16.4314004093209,87.7984969717371,21.0238661277955,31.3815404028671,31.1591031690045,31.0772955231416,42.4323816811429,1.28072378215527,2.21640196644741,3.03949436098271,3.1244539562664,3.85801992826581,5.01514754597631,1.43470334898118,1.21499340023922,0.721763634881222,0.498512407462543,0.829319949162835,0.661617527912352
151,Naive,81,36,Combined_Lower0.5Upper2_Additive100000,440316,5436,151,-98459.4835683322,3081.03286333558,106162.065726671,,0.0337866818395057,0.0150684170648552,0.0155312963276791,0.0290662392419688,0.0574105900464855,0.0520813837148079,0.0738477365598985,0.099158757834586,0.312895083078632,0.402278916167195,0.198667114125176,0.130555545451434,17.6851033649426,12.8452473076077,17.4932605374633,11.6217158677062,9.08475913187057,8.89480648565163,70.6854726306154,16.4319726562759,30.2450249456104,26.9212249467619,28.6307286470266,35.738885770542,1.350404669699,2.3986516613471,2.77920367250401,3.82994682406867,2.97399851051791,4.26670676648693,1.21825406099347,1.05836779862239,0.750203838757331,0.659339421103424,0.782734185928642,0.839099612292194
