LoopIndex,Monitoring Scheme,Vector Length,# Nodes,Epsilon,Bandwidth,# Messages,# Full Syncs,Lower-Bound,Function's Value,Upper-Bound,,Server 1,Server 2,Server 3,Server 4,Server 5,Server 6,Server 7,Server 8
13,Value,2000,8,Multiplicative 0.08,32128,181,1,59030333.52,64163406,69296478.48,,0,0,0,0,0,0,0,0
13,Distance,2000,8,Multiplicative 0.08,32136,190,1,59030333.52,64163406,69296478.48,,0,0,0,0,0,0,0,0
13,SKV,2000,8,Multiplicative 0.08,382,184,0,60227911.32,64163406,70702330.68,,0,0,0,0,0,0,0,0
13,SKD,2000,8,Multiplicative 0.08,408,210,0,60227911.32,64163406,70702330.68,,0,0,0,0,0,0,0,0
14,Naive,2000,8,Multiplicative 0.08,224000,112,14,59298449.12,64454836,69611222.88,,0,0,0,0,0,0,0,0
14,Oracle,2000,8,Multiplicative 0.08,0,0,0,60227911.32,64454836,70702330.68,,0,0,0,0,0,0,0,0
14,Value,2000,8,Multiplicative 0.08,32128,181,1,59030333.52,64454836,69296478.48,,0,0,0,0,0,0,0,0
14,SKV,2000,8,Multiplicative 0.08,388,191,0,60227911.32,64454836,70702330.68,,0,0,0,0,0,0,0,0
14,Vector,2000,8,Multiplicative 0.08,172000,105,0,60227911.32,64454836,70702330.68,,0,0,0,0,0,0,0,0
14,Distance,2000,8,Multiplicative 0.08,32136,190,1,59030333.52,64454836,69296478.48,,0,0,0,0,0,0,0,0
14,SKD,2000,8,Multiplicative 0.08,424,229,0,60227911.32,64454836,70702330.68,,0,0,0,0,0,0,0,0
15,Naive,2000,8,Multiplicative 0.08,240000,120,15,59561138.56,64740368,69919597.44,,0,0,0,0,0,0,0,0
15,Oracle,2000,8,Multiplicative 0.08,0,0,0,60227911.32,64740368,70702330.68,,0,0,0,0,0,0,0,0
15,Value,2000,8,Multiplicative 0.08,32128,181,1,59030333.52,64740368,69296478.48,,0,0,0,0,0,0,0,0
15,Vector,2000,8,Multiplicative 0.08,188000,115,0,60227911.32,64740368,70702330.68,,0,0,0,0,0,0,0,0
15,SKV,2000,8,Multiplicative 0.08,398,203,0,60227911.32,64740368,70702330.68,,0,0,0,0,0,0,0,0
15,Distance,2000,8,Multiplicative 0.08,32136,190,1,59030333.52,64740368,69296478.48,,0,0,0,0,0,0,0,0
15,SKD,2000,8,Multiplicative 0.08,440,248,0,60227911.32,64740368,70702330.68,,0,0,0,0,0,0,0,0
16,Naive,2000,8,Multiplicative 0.08,256000,128,16,59299885.24,64456397,69612908.76,,0,0,0,0,0,0,0,0
