LoopIndex,Monitoring Scheme,Vector Length,# Nodes,Approximation,Bandwidth,# Messages,# Full Syncs,Lower-Bound,Function's Value,Upper-Bound,,Server 1,Server 2,Server 3,Server 4,Server 5,Server 6,Server 7,Server 8,Server 9,Server 10,Server 11,Server 12,Server 13,Server 14,Server 15,Server 16,Server 17,Server 18,Server 19,Server 20,Server 21,Server 22,Server 23,Server 24,Server 25,Server 26,Server 27,Server 28,Server 29,Server 30,Server 31,Server 32,Server 33,Server 34,Server 35,Server 36,Server 37,Server 38,Server 39,Server 40,Server 41,Server 42,Server 43,Server 44,Server 45,Server 46,Server 47,Server 48,Server 49,Server 50,Server 51,Server 52,Server 53,Server 54,Server 55,Server 56,Server 57,Server 58,Server 59,Server 60,Server 61,Server 62,Server 63,Server 64,Server 65,Server 66,Server 67,Server 68,Server 69,Server 70,Server 71,Server 72,Server 73,Server 74,Server 75,Server 76,Server 77,Server 78,Server 79,Server 80,Server 81,Server 82,Server 83,Server 84,Server 85,Server 86,Server 87,Server 88,Server 89,Server 90,Server 91,Server 92,Server 93,Server 94,Server 95,Server 96,Server 97,Server 98,Server 99,Server 100
5,Vector,80802,100,Lower0.5Upper2,36360900,619,0,36807376.5,44549226,147229506,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,9,1,0,0,0,0,0,0,0,3869,3964847,13706779,149811,0,0,0,0,0,0,81,3579,484992,36706,408,1,0,0,0,0,1,73,25833,0,0,1,0,0,0,10370,15,2,0,0,0,0,0,0,0,675,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,Oracle Vector,80802,100,Lower0.5Upper2,3878496,58,0,36807376.5,44549226,147229506,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,9,1,0,0,0,0,0,0,0,3869,3964847,13706779,149811,0,0,0,0,0,0,81,3579,484992,36706,408,1,0,0,0,0,1,73,25833,0,0,1,0,0,0,10370,15,2,0,0,0,0,0,0,0,675,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,Oracle,80802,100,Lower0.5Upper2,0,0,0,36807376.5,44549226,147229506,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,9,1,0,0,0,0,0,0,0,3869,3964847,13706779,149811,0,0,0,0,0,0,81,3579,484992,36706,408,1,0,0,0,0,1,73,25833,0,0,1,0,0,0,10370,15,2,0,0,0,0,0,0,0,675,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,Naive,80802,100,Lower0.5Upper2,40401000,500,5,22274613,44549226,89098452,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,9,1,0,0,0,0,0,0,0,3869,3964847,13706779,149811,0,0,0,0,0,0,81,3579,484992,36706,408,1,0,0,0,0,1,73,25833,0,0,1,0,0,0,10370,15,2,0,0,0,0,0,0,0,675,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,Dist L2,80802,100,Lower0.5Upper2,680,965,0,36807376.5,44549226,147229506,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,9,1,0,0,0,0,0,0,0,3869,3964847,13706779,149811,0,0,0,0,0,0,81,3579,484992,36706,408,1,0,0,0,0,1,73,25833,0,0,1,0,0,0,10370,15,2,0,0,0,0,0,0,0,675,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,Value,80802,100,Lower0.5Upper2,16161160,1438,1,23814116,43799505,95256464,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,8,1,0,0,0,0,0,0,1,3544,3806562,13572650,148491,0,0,0,0,0,0,65,2828,486331,35661,289,0,0,0,0,0,1,63,25764,0,0,0,0,0,0,10912,17,2,0,0,0,0,0,0,0,716,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,FGM,80802,100,Lower0.5Upper2,16161932,1832,1,23814116,43799505,95256464,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,8,1,0,0,0,0,0,0,1,3544,3806562,13572650,148491,0,0,0,0,0,0,65,2828,486331,35661,289,0,0,0,0,0,1,63,25764,0,0,0,0,0,0,10912,17,2,0,0,0,0,0,0,0,716,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,Vector,80802,100,Lower0.5Upper2,45249120,770,0,36807376.5,43799505,147229506,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,8,1,0,0,0,0,0,0,1,3544,3806562,13572650,148491,0,0,0,0,0,0,65,2828,486331,35661,289,0,0,0,0,0,1,63,25764,0,0,0,0,0,0,10912,17,2,0,0,0,0,0,0,0,716,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,Oracle Vector,80802,100,Lower0.5Upper2,4363308,65,0,36807376.5,43799505,147229506,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,8,1,0,0,0,0,0,0,1,3544,3806562,13572650,148491,0,0,0,0,0,0,65,2828,486331,35661,289,0,0,0,0,0,1,63,25764,0,0,0,0,0,0,10912,17,2,0,0,0,0,0,0,0,716,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,Oracle,80802,100,Lower0.5Upper2,0,0,0,36807376.5,43799505,147229506,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,8,1,0,0,0,0,0,0,1,3544,3806562,13572650,148491,0,0,0,0,0,0,65,2828,486331,35661,289,0,0,0,0,0,1,63,25764,0,0,0,0,0,0,10912,17,2,0,0,0,0,0,0,0,716,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,Naive,80802,100,Lower0.5Upper2,48481200,600,6,21899752.5,43799505,87599010,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,8,1,0,0,0,0,0,0,1,3544,3806562,13572650,148491,0,0,0,0,0,0,65,2828,486331,35661,289,0,0,0,0,0,1,63,25764,0,0,0,0,0,0,10912,17,2,0,0,0,0,0,0,0,716,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,Dist L2,80802,100,Lower0.5Upper2,16161180,1453,1,21899752.5,43799505,87599010,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,8,1,0,0,0,0,0,0,1,3544,3806562,13572650,148491,0,0,0,0,0,0,65,2828,486331,35661,289,0,0,0,0,0,1,63,25764,0,0,0,0,0,0,10912,17,2,0,0,0,0,0,0,0,716,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,Value,80802,100,Lower0.5Upper2,16161192,1482,1,23814116,45699006,95256464,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,0,0,0,0,0,1,3637,3882180,14245773,151924,0,0,0,0,0,0,34,2438,523373,37100,263,0,0,0,0,0,1,63,25691,0,0,0,0,0,0,11445,19,3,0,0,0,0,0,0,0,762,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,FGM,80802,100,Lower0.5Upper2,16161938,1838,1,23814116,45699006,95256464,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,0,0,0,0,0,1,3637,3882180,14245773,151924,0,0,0,0,0,0,34,2438,523373,37100,263,0,0,0,0,0,1,63,25691,0,0,0,0,0,0,11445,19,3,0,0,0,0,0,0,0,762,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,Vector,80802,100,Lower0.5Upper2,47188368,800,0,36807376.5,45699006,147229506,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,0,0,0,0,0,1,3637,3882180,14245773,151924,0,0,0,0,0,0,34,2438,523373,37100,263,0,0,0,0,0,1,63,25691,0,0,0,0,0,0,11445,19,3,0,0,0,0,0,0,0,762,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
