LoopIndex,MonitoringScheme,VectorLength,NumOfNodes,Epsilon,Bandwidth,NumberOfMessages,NumberOfChannels,NumberOfFullSyncs,LowerBound,FunctionValue,UpperBound,,Node 1,Node 2,Node 3,Node 4,Node 5
10000,Oracle Scheme,2400,5,Multiplicative 0.12,120000,50,25,5,8505185.04,9060496,10824780.96,,197556,497197,333300,406625,362628
10000,Vector Scheme,2400,5,Multiplicative 0.12,17925615,9603,3734,28,7941727.2,9060496,10107652.8,,197556,497197,333300,406625,362628
10000,Value Scheme,2400,5,Multiplicative 0.12,2053171,13171,4870,85,8034136.88,9060496,10225265.12,,197556,497197,333300,406625,362628
10000,Distance L2 Scheme,2400,5,Multiplicative 0.12,2053158,13158,4868,85,8049652.16,9060496,10245011.84,,197556,497197,333300,406625,362628
10000,Oracle Scheme,2500,5,Multiplicative 0.12,75000,30,15,3,8759009.6,9816575,11147830.4,,426433,334006,674330,323822,392532
10000,Value Scheme,2500,5,Multiplicative 0.12,2313961,13961,5165,92,8693473.36,9816575,11064420.64,,426433,334006,674330,323822,392532
10000,Vector Scheme,2500,5,Multiplicative 0.12,21002685,10775,4200,31,8655459.12,9816575,11016038.88,,426433,334006,674330,323822,392532
10000,Distance L2 Scheme,2500,5,Multiplicative 0.12,2314371,14371,5326,92,8693473.36,9816575,11064420.64,,426433,334006,674330,323822,392532
10000,Oracle Scheme,2600,5,Multiplicative 0.12,364000,140,70,14,8811861.52,10456723,11215096.48,,189129,590937,431442,453612,423104
10000,Vector Scheme,2600,5,Multiplicative 0.12,20495835,10197,3941,32,9179557.2,10456723,11683072.8,,189129,590937,431442,453612,423104
10000,Value Scheme,2600,5,Multiplicative 0.12,2170698,12698,4693,83,9064542.08,10456723,11536689.92,,189129,590937,431442,453612,423104
10000,Distance L2 Scheme,2600,5,Multiplicative 0.12,2170694,12694,4682,83,9064542.08,10456723,11536689.92,,189129,590937,431442,453612,423104
10000,Oracle Scheme,2700,5,Multiplicative 0.12,135000,50,25,5,13940460.16,14557748,17742403.84,,383813,554254,543835,913775,430060
10000,Vector Scheme,2700,5,Multiplicative 0.12,17595336,8402,3258,25,12696119.92,14557748,16158698.08,,383813,554254,543835,913775,430060
10000,Value Scheme,2700,5,Multiplicative 0.12,1820076,11076,4119,67,12696119.92,14557748,16158698.08,,383813,554254,543835,913775,430060
10000,Distance L2 Scheme,2700,5,Multiplicative 0.12,1847121,11121,4135,68,12785226.96,14557748,16272107.04,,383813,554254,543835,913775,430060
10000,Oracle Scheme,2800,5,Multiplicative 0.12,84000,30,15,3,6668302.08,7658546,8486929.92,,369498,336842,327947,297417,360281
10000,Vector Scheme,2800,5,Multiplicative 0.12,24228427,11139,4326,34,6699017.6,7658546,8526022.4,,369498,336842,327947,297417,360281
10000,Value Scheme,2800,5,Multiplicative 0.12,2674940,14940,5534,95,6673148.24,7658546,8493097.76,,369498,336842,327947,297417,360281
10000,Distance L2 Scheme,2800,5,Multiplicative 0.12,2674824,14824,5490,95,6650044.72,7658546,8463693.28,,369498,336842,327947,297417,360281
10000,Oracle Scheme,2900,5,Multiplicative 0.12,174000,60,30,6,8915387.36,9587099,11346856.64,,215002,459869,379915,394846,404058
10000,Vector Scheme,2900,5,Multiplicative 0.12,21207153,9405,3656,26,8358405.44,9587099,10637970.56,,215002,459869,379915,394846,404058
10000,Value Scheme,2900,5,Multiplicative 0.12,2361448,12448,4607,81,8419568.08,9587099,10715813.92,,215002,459869,379915,394846,404058
10000,Distance L2 Scheme,2900,5,Multiplicative 0.12,2361281,12281,4538,81,8419568.08,9587099,10715813.92,,215002,459869,379915,394846,404058
10000,Oracle Scheme,3000,5,Multiplicative 0.12,120000,40,20,4,7557300.96,8770600,9618383.04,,175084,541385,562411,271413,388023
10000,Vector Scheme,3000,5,Multiplicative 0.12,23330492,9988,3888,28,7899128.16,8770600,10053435.84,,175084,541385,562411,271413,388023
10000,Value Scheme,3000,5,Multiplicative 0.12,2473046,13046,4847,82,7673797.12,8770600,9766650.88,,175084,541385,562411,271413,388023
10000,Distance L2 Scheme,3000,5,Multiplicative 0.12,2472985,12985,4817,82,7667757.68,8770600,9758964.32,,175084,541385,562411,271413,388023
10000,Oracle Scheme,3100,5,Multiplicative 0.12,186000,60,30,6,12993714.8,13762626,16537455.2,,689421,557463,311804,731323,715420
10000,Value Scheme,3100,5,Multiplicative 0.12,2368231,12231,4531,76,12052820.56,13762626,15339953.44,,689421,557463,311804,731323,715420
10000,Vector Scheme,3100,5,Multiplicative 0.12,22223110,9218,3584,26,11981728,13762626,15249472,,689421,557463,311804,731323,715420
10000,Distance L2 Scheme,3100,5,Multiplicative 0.12,2368102,12102,4489,76,12051341.28,13762626,15338070.72,,689421,557463,311804,731323,715420
10000,Oracle Scheme,3200,5,Multiplicative 0.12,96000,30,15,3,9014586.24,10621681,11473109.76,,230605,643074,752411,517693,326536
10000,Value Scheme,3200,5,Multiplicative 0.12,2316449,12449,4657,72,9481150.8,10621681,12066919.2,,230605,643074,752411,517693,326536
10000,Vector Scheme,3200,5,Multiplicative 0.12,22018209,8849,3440,24,9314172.56,10621681,11854401.44,,230605,643074,752411,517693,326536
10000,Distance L2 Scheme,3200,5,Multiplicative 0.12,2316485,12485,4663,72,9460002.64,10621681,12040003.36,,230605,643074,752411,517693,326536
10000,Oracle Scheme,3300,5,Multiplicative 0.12,231000,70,35,7,9419928.32,10738367,11988999.68,,307038,354494,380245,817971,332207
10000,Value Scheme,3300,5,Multiplicative 0.12,2718911,12911,4787,82,9434226.56,10738367,12007197.44,,307038,354494,380245,817971,332207
10000,Vector Scheme,3300,5,Multiplicative 0.12,24541224,9570,3718,29,9456282,10738367,12035268,,307038,354494,380245,817971,332207
10000,Distance L2 Scheme,3300,5,Multiplicative 0.12,2718598,12598,4659,82,9427063.36,10738367,11998080.64,,307038,354494,380245,817971,332207
10000,Oracle Scheme,3400,5,Multiplicative 0.12,136000,40,20,4,5996613.04,6681066,7632052.96,,132885,128026,335395,208729,436997
10000,Vector Scheme,3400,5,Multiplicative 0.12,31045007,11767,4565,37,5906881.2,6681066,7517848.8,,132885,128026,335395,208729,436997
10000,Value Scheme,3400,5,Multiplicative 0.12,3585679,15679,5792,105,5832027.52,6681066,7422580.48,,132885,128026,335395,208729,436997
10000,Distance L2 Scheme,3400,5,Multiplicative 0.12,3585330,15330,5649,105,5832881.12,6681066,7423666.88,,132885,128026,335395,208729,436997
10000,Oracle Scheme,3500,5,Multiplicative 0.12,70000,20,10,2,6642009.44,7575562,8453466.56,,235325,436711,329778,257347,297990
10000,Vector Scheme,3500,5,Multiplicative 0.12,29878792,10988,4268,34,6574411.36,7575562,8367432.64,,235325,436711,329778,257347,297990
10000,Value Scheme,3500,5,Multiplicative 0.12,3479805,14805,5465,99,6650151.2,7575562,8463828.8,,235325,436711,329778,257347,297990
