LoopIndex,Monitoring Scheme,Vector Length,# Nodes,Epsilon,Bandwidth,# Messages,# Full Syncs,Lower-Bound,Function's Value,Upper-Bound,,Server 1,Server 2,Server 3,Server 4,Server 5,Server 6,Server 7,Server 8
14,SKD,5000,8,Multiplicative 0.08,424,225,0,44202440.52,46957186,51889821.48,,0,0,0,0,0,0,0,0
15,Naive,5000,8,Multiplicative 0.08,600000,120,15,43063893.6,46808580,50553266.4,,0,0,0,0,0,0,0,0
15,Oracle,5000,8,Multiplicative 0.08,0,0,0,44202440.52,46808580,51889821.48,,0,0,0,0,0,0,0,0
15,Value,5000,8,Multiplicative 0.08,80092,138,1,43349376.96,46808580,50888399.04,,0,0,0,0,0,0,0,0
15,Vector,5000,8,Multiplicative 0.08,420000,102,0,44202440.52,46808580,51889821.48,,0,0,0,0,0,0,0,0
15,SKV,5000,8,Multiplicative 0.08,444,257,0,44202440.52,46808580,51889821.48,,0,0,0,0,0,0,0,0
15,SKD,5000,8,Multiplicative 0.08,440,246,0,44202440.52,46808580,51889821.48,,0,0,0,0,0,0,0,0
15,Distance,5000,8,Multiplicative 0.08,80128,181,1,43349376.96,46808580,50888399.04,,0,0,0,0,0,0,0,0
16,Naive,5000,8,Multiplicative 0.08,640000,128,16,42477430.4,46171120,49864809.6,,0,0,0,0,0,0,0,0
16,Oracle,5000,8,Multiplicative 0.08,0,0,0,44202440.52,46171120,51889821.48,,0,0,0,0,0,0,0,0
16,Value,5000,8,Multiplicative 0.08,80098,145,1,43349376.96,46171120,50888399.04,,0,0,0,0,0,0,0,0
16,Vector,5000,8,Multiplicative 0.08,490000,118,0,44202440.52,46171120,51889821.48,,0,0,0,0,0,0,0,0
16,SKV,5000,8,Multiplicative 0.08,1250,356,0,44202440.52,46171120,51889821.48,,0,0,0,0,0,0,0,0
16,Distance,5000,8,Multiplicative 0.08,80136,190,1,43349376.96,46171120,50888399.04,,0,0,0,0,0,0,0,0
16,SKD,5000,8,Multiplicative 0.08,1240,338,0,44202440.52,46171120,51889821.48,,0,0,0,0,0,0,0,0
17,Naive,5000,8,Multiplicative 0.08,680000,136,17,42217920.48,45889044,49560167.52,,0,0,0,0,0,0,0,0
17,Oracle,5000,8,Multiplicative 0.08,0,0,0,44202440.52,45889044,51889821.48,,0,0,0,0,0,0,0,0
17,Value,5000,8,Multiplicative 0.08,80104,152,1,43349376.96,45889044,50888399.04,,0,0,0,0,0,0,0,0
17,Vector,5000,8,Multiplicative 0.08,530000,127,0,44202440.52,45889044,51889821.48,,0,0,0,0,0,0,0,0
17,Distance,5000,8,Multiplicative 0.08,80144,199,1,43349376.96,45889044,50888399.04,,0,0,0,0,0,0,0,0
17,SKV,5000,8,Multiplicative 0.08,2150,463,0,44202440.52,45889044,51889821.48,,0,0,0,0,0,0,0,0
17,SKD,5000,8,Multiplicative 0.08,2128,429,0,44202440.52,45889044,51889821.48,,0,0,0,0,0,0,0,0
18,Naive,5000,8,Multiplicative 0.08,720000,144,18,42014707.2,45668160,49321612.8,,0,0,0,0,0,0,0,0
18,Oracle,5000,8,Multiplicative 0.08,0,0,0,44202440.52,45668160,51889821.48,,0,0,0,0,0,0,0,0
18,Value,5000,8,Multiplicative 0.08,80118,168,1,43349376.96,45668160,50888399.04,,0,0,0,0,0,0,0,0
18,Vector,5000,8,Multiplicative 0.08,560000,135,0,44202440.52,45668160,51889821.48,,0,0,0,0,0,0,0,0
18,Distance,5000,8,Multiplicative 0.08,80160,217,1,43349376.96,45668160,50888399.04,,0,0,0,0,0,0,0,0
18,SKV,5000,8,Multiplicative 0.08,4130,597,0,44202440.52,45668160,51889821.48,,0,0,0,0,0,0,0,0
18,SKD,5000,8,Multiplicative 0.08,4104,559,0,44202440.52,45668160,51889821.48,,0,0,0,0,0,0,0,0
19,Naive,5000,8,Multiplicative 0.08,760000,152,19,42177166.32,45844746,49512325.68,,0,0,0,0,0,0,0,0
19,Oracle,5000,8,Multiplicative 0.08,0,0,0,44202440.52,45844746,51889821.48,,0,0,0,0,0,0,0,0
19,Value,5000,8,Multiplicative 0.08,80130,182,1,43349376.96,45844746,50888399.04,,0,0,0,0,0,0,0,0
19,SKV,5000,8,Multiplicative 0.08,4152,623,0,44202440.52,45844746,51889821.48,,0,0,0,0,0,0,0,0
19,Vector,5000,8,Multiplicative 0.08,590000,142,0,44202440.52,45844746,51889821.48,,0,0,0,0,0,0,0,0
19,SKD,5000,8,Multiplicative 0.08,4120,578,0,44202440.52,45844746,51889821.48,,0,0,0,0,0,0,0,0
19,Distance,5000,8,Multiplicative 0.08,80176,236,1,43349376.96,45844746,50888399.04,,0,0,0,0,0,0,0,0
20,Naive,5000,8,Multiplicative 0.08,800000,160,20,42671042.56,46381568,50092093.44,,0,0,0,0,0,0,0,0
20,Oracle,5000,8,Multiplicative 0.08,0,0,0,44202440.52,46381568,51889821.48,,0,0,0,0,0,0,0,0
20,Value,5000,8,Multiplicative 0.08,80138,192,1,43349376.96,46381568,50888399.04,,0,0,0,0,0,0,0,0
20,Vector,5000,8,Multiplicative 0.08,640000,154,0,44202440.52,46381568,51889821.48,,0,0,0,0,0,0,0,0
20,SKV,5000,8,Multiplicative 0.08,4434,672,0,44202440.52,46381568,51889821.48,,0,0,0,0,0,0,0,0
20,Distance,5000,8,Multiplicative 0.08,80192,256,1,43349376.96,46381568,50888399.04,,0,0,0,0,0,0,0,0
20,SKD,5000,8,Multiplicative 0.08,4408,634,0,44202440.52,46381568,51889821.48,,0,0,0,0,0,0,0,0
21,Naive,5000,8,Multiplicative 0.08,840000,168,21,42660271.2,46369860,50079448.8,,0,0,0,0,0,0,0,0
21,Oracle,5000,8,Multiplicative 0.08,0,0,0,44202440.52,46369860,51889821.48,,0,0,0,0,0,0,0,0
21,Value,5000,8,Multiplicative 0.08,80156,215,1,43349376.96,46369860,50888399.04,,0,0,0,0,0,0,0,0
21,SKV,5000,8,Multiplicative 0.08,4446,688,0,44202440.52,46369860,51889821.48,,0,0,0,0,0,0,0,0
21,Vector,5000,8,Multiplicative 0.08,670000,162,0,44202440.52,46369860,51889821.48,,0,0,0,0,0,0,0,0
21,Distance,5000,8,Multiplicative 0.08,80208,274,1,43349376.96,46369860,50888399.04,,0,0,0,0,0,0,0,0
21,SKD,5000,8,Multiplicative 0.08,4416,647,0,44202440.52,46369860,51889821.48,,0,0,0,0,0,0,0,0
