LoopIndex,Monitoring Scheme,Vector Length,# Nodes,Epsilon,Bandwidth,# Messages,# Full Syncs,Lower-Bound,Function's Value,Upper-Bound,,Server 1,Server 2,Server 3,Server 4,Server 5,Server 6,Server 7,Server 8,Server 9,Server 10,Server 11,Server 12
11,Vector,4950,12,Threshold 5,782100,169,0,5,6.334348014,+Infinity,,0.08969521,0.227394278,0.004765055,0.43022811,0.105252004,0.144537939,0.63995088,0.078665545,0.225564229,0.012061576,0.194025185,-0.00530197
11,Oracle,4950,12,Threshold 5,0,0,0,5,6.334347428,+Infinity,,0.089428278,0.224105243,0.00457235,0.431088007,0.105388803,0.107172117,0.641347399,0.079478097,0.22575642,0.025309053,0.196094503,-0.011604753
11,Naive,4950,12,Threshold 5,653400,132,11,5,6.334361373,+Infinity,,0.087572588,0.222686969,0.001886163,0.43168092,0.103074033,0.11162375,0.642091259,0.078450809,0.225603312,0.013115184,0.194438905,-0.006523353
11,Distance,4950,12,Threshold 5,1306932,592,11,5,6.334277853,+Infinity,,0.087777244,0.221491419,-0.002734033,0.430252793,0.104301843,0.109993957,0.641336461,0.080160493,0.225053119,-0.022700821,0.194662022,0.010585777
12,Value,4950,12,Threshold 5,1306950,615,11,5,6.154723358,+Infinity,,0.087803115,0.473653945,0.002622489,0.431169813,0.102582688,0.103409163,0.641844757,0.079425369,0.226678145,-0.001537338,0.193745103,0.319381205
12,Vector,4950,12,Threshold 5,831600,180,0,5,6.154690852,+Infinity,,0.092767421,0.472172988,0.00074393,0.431323598,0.105011656,0.106293189,0.640954072,0.080321936,0.226910314,0.015287672,0.19395671,0.317842573
12,Oracle,4950,12,Threshold 5,0,0,0,5,6.154717304,+Infinity,,0.092154948,0.471804797,-0.008514674,0.430218585,0.10647289,0.110343236,0.641437242,0.080720062,0.226069774,0.023398726,0.196039093,0.318105631
12,Naive,4950,12,Threshold 5,712800,144,12,5,6.154731143,+Infinity,,0.08639734,0.471965528,-0.004763249,0.430897485,0.11054409,0.110309162,0.639964616,0.078766169,0.225818694,0.007697864,0.19446094,0.362332329
12,Distance,4950,12,Threshold 5,1425744,648,12,5,6.154715228,+Infinity,,0.088444698,0.47794853,-0.006106921,0.43064392,0.107546137,0.106472003,0.640695093,0.080302354,0.226993291,0.003948707,0.1934723,0.318083889
13,Value,4950,12,Threshold 5,1425762,669,12,5,6.009007599,+Infinity,,0.093468238,0.470358963,0.004042594,0.425876828,0.08526013,0.10688581,0.640963636,0.08526345,0.2941706,0.021584526,0.19471732,0.323278065
13,Vector,4950,12,Threshold 5,900900,195,0,5,6.009008718,+Infinity,,0.094393182,0.471014145,-0.00108412,0.404752955,0.088618969,0.111252079,0.641696788,0.082363411,0.293918416,-0.013603098,0.196945641,0.318738435
13,Oracle,4950,12,Threshold 5,0,0,0,5,6.009007885,+Infinity,,0.092794733,0.472281313,-0.001088059,0.400219652,0.085074263,0.10682341,0.639418008,0.084716563,0.29328176,0.019200137,0.196165866,0.317495438
13,Naive,4950,12,Threshold 5,772200,156,13,5,6.00893832,+Infinity,,0.088410594,0.476598853,-0.006241574,0.403354984,0.085068902,0.106105134,0.640244268,0.083880352,0.294300716,0.015298059,0.195362433,0.317976898
13,Distance,4950,12,Threshold 5,1544556,702,13,5,6.008970288,+Infinity,,0.089777701,0.4751899,0.003020026,0.4011816,0.090146542,0.105594714,0.641537485,0.08240879,0.29401614,0.023584914,0.195644388,0.323453078
14,Value,4950,12,Threshold 5,1544574,724,13,5,5.983141219,+Infinity,,0.087942165,0.478048252,0.003687935,0.406172658,0.052314121,0.111699574,0.641677484,0.085773357,0.293496411,0.080950848,0.195697483,0.318680888
14,Vector,4950,12,Threshold 5,960300,208,0,5,5.983101875,+Infinity,,0.089984531,0.473294367,0.002766248,0.428043648,0.050880957,0.110742755,0.640421522,0.083687922,0.296516689,0.085665671,0.195966407,0.322068204
14,Oracle,4950,12,Threshold 5,0,0,0,5,5.983067192,+Infinity,,0.087701118,0.475401055,-0.002167044,0.400267915,0.054802448,0.111575048,0.642086239,0.081837827,0.293595315,0.082543614,0.19556208,0.317761969
14,Naive,4950,12,Threshold 5,831600,168,14,5,5.983128861,+Infinity,,0.090207887,0.471414542,-0.00044442,0.405924524,0.057345171,0.109213434,0.641504434,0.078850925,0.296874346,0.087469914,0.197983233,0.317961614
14,Distance,4950,12,Threshold 5,1663368,757,14,5,5.983140207,+Infinity,,0.088178724,0.47670595,0.000546496,0.401286989,0.088336401,0.10792809,0.640311923,0.078802094,0.29702563,0.085159611,0.194953127,0.319611496
15,Value,4950,12,Threshold 5,1663386,778,14,5,5.69287657,+Infinity,,0.087766755,0.478043021,0.041224883,0.400776224,0.000966311,0.400988606,0.669913,0.079829437,0.295931972,0.093513062,0.195490736,0.319028272
15,Vector,4950,12,Threshold 5,1029600,223,0,5,5.692878101,+Infinity,,0.089715483,0.474900502,0.007089618,0.428634244,0.006652093,0.402487859,0.670015156,0.082156629,0.296943319,0.093213646,0.195714514,0.320542326
15,Oracle,4950,12,Threshold 5,0,0,0,5,5.692898217,+Infinity,,0.09207324,0.475975382,0.002130449,0.404716883,0.002917083,0.400092256,0.668058359,0.079887241,0.296348553,0.096399903,0.195814024,0.317391788
15,Naive,4950,12,Threshold 5,891000,180,15,5,5.69287605,+Infinity,,0.091853022,0.477894575,-0.001094308,0.404933964,-0.007231389,0.403913224,0.670209442,0.085415748,0.296893438,0.096215032,0.195836852,0.317615499
15,Distance,4950,12,Threshold 5,1782180,811,15,5,5.692892601,+Infinity,,0.088299687,0.477040265,0.00153265,0.406113714,-0.003514239,0.402525613,0.66925752,0.079465801,0.29643252,0.093896762,0.19519739,0.320701287
16,Value,4950,12,Threshold 5,1782198,831,15,5,5.581966406,+Infinity,,0.165168582,0.472073554,0.037935777,0.402920275,-0.009009217,0.47576436,0.669788231,0.085976662,0.296888598,0.076630087,0.19580839,0.318422334
16,Vector,4950,12,Threshold 5,1108800,240,0,5,5.581960162,+Infinity,,0.165407723,0.472835729,0.046355519,0.404705474,0.006641774,0.490434254,0.668830373,0.079956186,0.296796009,0.077257786,0.195716857,0.318466545
