LoopIndex,Monitoring Scheme,Vector Length,# Nodes,Approximation,Bandwidth,# Messages,# Full Syncs,Lower-Bound,Function's Value,Upper-Bound,,Server 1,Server 2,Server 3,Server 4,Server 5,Server 6,Server 7,Server 8,Server 9,Server 10,Server 11,Server 12,Server 13,Server 14,Server 15,Server 16
141,Naive,81,16,Combined_Lower0.5Upper2_Additive100000,182736,2256,141,-91986.5854657262,16026.8290685477,132053.658137095,,1.69341130114817,1.47244511848935,0.757106733638056,1.1578571030018,73.2471876535474,84.4358527770441,109.3728679774,124.232801209685,409.221280563965,356.424661627853,319.393645847725,340.052009996208,16.7568297837861,22.9063601135021,28.3113835529051,22.9756735768139
142,Naive,81,16,Combined_Lower0.5Upper2_Additive100000,184032,2272,142,-93478.745454202,13042.5090915959,126085.018183192,,1.36949402837803,1.14524921857459,0.495507693332232,1.01084843597718,59.3518798652003,79.4968129301749,89.5283931153397,119.689328611808,313.331913595119,305.321224793733,262.160456265059,306.475351096832,12.3001064019523,15.9923731716882,21.9248081319929,18.2790252456045
143,Naive,81,16,Combined_Lower0.5Upper2_Additive100000,185328,2288,143,-94843.3714817446,10313.2570365108,120626.514073022,,1.12144976320378,0.81199205784888,0.315205828041028,0.699662472182127,55.2212804870952,76.1491600050881,65.4662268726071,94.3602805941075,220.466237211423,290.541433674536,233.728023242328,253.705448275263,12.7525696497468,14.3776808558071,16.925544927213,14.2051456331062
144,Naive,81,16,Combined_Lower0.5Upper2_Additive100000,186624,2304,144,-95706.0697953778,8587.86040924439,117175.720818489,,0.787763948318888,0.597540587664721,0.320894510851649,0.348147975109635,43.795135639262,60.7212226449175,52.8996853880067,74.5712891567291,210.79898708628,211.47471136003,222.269641412726,219.629541652174,11.6004763436931,12.1738285782158,15.5313352595669,11.6751888778459
145,Naive,81,16,Combined_Lower0.5Upper2_Additive100000,187920,2320,145,-96311.904639488,7376.19072102394,114752.381442048,,0.586488875014842,0.421595202833345,0.193733657079156,0.331308776172838,38.2550683951666,55.5879113019508,46.6427451091166,58.548004130265,187.446184730773,205.996792909686,218.325545434465,172.458695006566,8.83289180810027,9.57016682686789,12.163995832499,9.26005641927728
146,Naive,81,16,Combined_Lower0.5Upper2_Additive100000,189216,2336,146,-97090.5159210925,5818.96815781502,111637.93631563,,0.539087310453669,0.368271334982157,0.138632390297974,0.310820012153132,32.4566414640411,46.6541469438028,46.4917779348868,42.8350373365086,165.945024612564,190.33962277682,159.099425138649,141.693690197119,9.5127672105605,9.10732093809674,8.99830534048663,7.53214122849221
147,Naive,81,16,Combined_Lower0.5Upper2_Additive100000,190512,2352,147,-97436.0725792721,5127.85484145575,110255.709682912,,0.417359892513477,0.358439394767306,0.148265993126793,0.288939705276181,29.3259813752429,29.8568974664186,45.2322276720403,37.2223336384656,143.543129042175,186.064271227764,126.544878603922,114.600281665039,6.58583244794251,7.47733905590591,8.27985770594659,6.29584903890059
148,Naive,81,16,Combined_Lower0.5Upper2_Additive100000,191808,2368,148,-97735.7064009307,4528.58719813865,109057.174396277,,0.421065056035723,0.368540011249797,0.150276582709988,0.210374600684458,23.7391598799366,27.0251913187135,43.3613540502222,44.2411700643024,112.609013595323,183.337964457245,113.969681078288,94.3404082193292,4.51204037308149,5.18543987872637,7.42325079212355,6.47721415360451
149,Naive,81,16,Combined_Lower0.5Upper2_Additive100000,193104,2384,149,-98065.8605829773,3868.27883404546,107736.557668091,,0.390212360293655,0.348820607984097,0.148756280427005,0.187286559365561,19.5899838960419,23.5108410224547,35.3935036709664,41.2270524232976,91.3375085956048,171.806270867709,92.1433096723692,80.8221051365075,4.99756534598104,4.05197798591764,5.41367124712885,4.69539525223587
150,Naive,81,16,Combined_Lower0.5Upper2_Additive100000,194400,2400,150,-98247.17416282,3505.65167435995,107011.30334872,,0.395661057549308,0.309881270659227,0.157434703002781,0.181919944780526,20.3650356671957,21.6470626088964,39.2562790238905,40.6677227442794,85.3540051407764,142.332088364491,87.2208942590727,69.5907694323419,4.07480729163242,4.03981445767977,4.44778621497448,3.87135112951371
151,Naive,81,16,Combined_Lower0.5Upper2_Additive100000,195696,2416,151,-98538.8593317239,2922.28133655214,105844.562673104,,0.36015001665345,0.269878903752792,0.163341799426064,0.145482134250258,18.2095745384753,21.3276209618458,29.8228300239331,34.6709136858499,81.894039453198,112.81231642829,78.5847231922723,58.9469014032326,3.69788993774697,3.3709787946191,4.21351051148213,3.23873124742295
152,Naive,81,16,Combined_Lower0.5Upper2_Additive100000,196992,2432,152,-98691.0474234692,2617.90515306158,105235.810306123,,0.248673138889406,0.180056438881166,0.114780190016986,0.136020516572349,18.237535376363,22.3190028203618,20.85742770045,31.2538744596554,77.8020876701477,115.186379117509,66.125574587577,60.3919087463563,3.61425803656992,3.33630461062535,3.32985125288205,2.53178636651297
153,Naive,81,16,Combined_Lower0.5Upper2_Additive100000,198288,2448,153,-98929.9574092381,2140.08518152389,104280.170363048,,0.282308172496601,0.188755107346493,0.108280132033189,0.134087531315484,18.2325106104519,19.7434428674973,21.76973822427,28.2773654862135,61.8471544467917,77.1475266414548,51.4579116832487,52.4036914247643,3.29956769226317,2.70992908014963,3.23517355249738,2.11470303302744
154,Naive,81,16,Combined_Lower0.5Upper2_Additive100000,199584,2464,154,-98980.0313304672,2039.93733906553,104079.874678131,,0.297713538064332,0.262765742492537,0.0969923526010732,0.145542782732615,15.257070313799,18.4883551397821,18.4074893348339,26.4370848515348,52.043647389158,61.1845048367496,50.9776120943944,69.6713201163736,3.70094491987933,2.83724122291579,3.81996620021501,2.763665648767
155,Naive,81,16,Combined_Lower0.5Upper2_Additive100000,200880,2480,155,-98996.1099277183,2007.78014456346,104015.560289127,,0.274175068857043,0.281856758549535,0.137628909541187,0.162214878285172,13.2099521423817,25.9822784314662,21.8892253477846,24.2369107319849,49.5984814207353,50.6301491681736,52.319962651938,69.262017249462,3.40074902296713,2.52351050443688,4.08794998340075,3.25864733127928
156,Naive,81,16,Combined_Lower0.5Upper2_Additive100000,202176,2496,156,-98958.5532942084,2082.89341158313,104165.786823166,,0.324751508471389,0.24555934818139,0.101242410643219,0.141816229551836,13.061020460485,26.2500076062199,22.1472743934934,26.5843652658635,44.9607995707037,43.1640840049675,55.6086318943631,67.5369182159278,3.99786445233195,2.36664640682236,4.38364049861744,2.72384234039812
